MANDT,EBELN,BUKRS,BSART,LIFNR,EKORG,EKGRP,WAERS,WKURS,KUFIX,BEDAT,KDATB,KDATE,KDATV,ABGRU,AUTLF,WEAKT,MEMORY,KZABS,RLWRT,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,MWSKZ,IHREZ,VERKF,EXNUM,UNSEZ,INCO1,INCO2,KONNR,KTPNR,ABTYP,WGLIF,KNUMV
100,0200000000,2000,ZB,0000000685,3000,001,USD,1.20497,,20150101,,20260117,,,X,,,,,NT30,5,22,10,1.2,1.3,V1,,,,,FCA,,,,,,8127757143
100,0200000003,1000,UB,0000000075,2000,894,USD,1.01159,,20150106,,20221029,,,,X,,,,NT90,19,25,79,0.8,2.0,V3,,,,,CIF,,,,,,2906244974
100,0200000004,5000,ZB,0000001870,3000,852,USD,1.02313,,20150106,,20250901,,,,X,,,,2/10NET30,19,30,2,0.4,0.2,,,,,,CPT,,,,,,7575520368
100,0200000005,2000,ZB,0000000866,3000,796,USD,0.53424,,20150108,,20260106,,,X,X,,,,NT90,5,13,1,0.4,0.4,V3,,,,,FCA,,,,,,7397728450
100,0200000007,2000,NB,0000001011,2000,026,USD,1.22831,,20150111,,20240222,,,,X,,,,NT30,25,45,54,0.9,1.1,V3,,,,,CFR,,,,,,3829182824
100,0200000009,3000,UB,0000000313,2000,613,USD,1.96598,,20150112,,20220227,,,X,X,,,,0003,21,18,25,1.6,1.7,V3,,,,,CPT,,,,,,3173805963
100,0200000010,5000,FO,0000001295,2000,354,USD,0.54577,,20150115,,20250503,,,,,,,,0003,21,17,44,2.0,0.7,V2,,,,,CPT,,,,,,0824123128
100,0200000011,3000,NB,0000000156,1000,091,USD,1.88664,,20150115,,20230424,,,,,,,,NT90,15,51,87,0.1,1.0,V2,,,,,DDP,,,,,,7392977258
100,0200000012,3000,NB,0000000432,2000,350,USD,1.47515,,20150118,,20220820,,,X,X,,,,2/10NET30,11,22,47,1.8,1.1,V1,,,,,EXW,,,,,,0963720103
100,0200000013,2000,UB,0000001749,1000,217,USD,1.97953,,20150119,,20221110,,,,,,,,0001,4,20,8,2.3,1.9,V2,,,,,CIP,,,,,,3156333389
100,0200000016,4000,ZB,0000001204,2000,306,USD,0.99774,,20150123,,20240503,,,,,,,,0002,15,3,2,0.7,1.3,V1,,,,,CPT,,,,,,3670207671
