MANDT,EBELN,EBELP,MATNR,WERKS,LGORT,MATKL,INFNR,IDNLF,KTMNG,MENGE,MEINS,BPRME,BPUMZ,BPUMN,NETPR,PEINH,NETWR,BRTWR,BUGSZ,RETPO,WEPOS,WEUNB,REPOS,MWSKZ,ADRNR,PACKNO,FPLNR,BELNR,LOEKZ,BANFN,BNFPO,EBELN2,EBELP2
100,0200000000,00010,MZ-FG-R100,4000,6149,270554,,,,6,EA,EA,,,2782.8,1,"4374,13",4999,,,,,,,,,,,,,,,
100,0200000003,00010,MZ-FG-E15,3001,4707,265789,,,,5,EA,EA,,,1293.82,1,"3499,13",3999,,,,,,V3,,,,,,,,,
100,0200000003,00020,MZ-FG-C990,1001,5804,691162,,,,9,EA,EA,,,2130.44,1,"630,88",721,,,,,,V2,,,,,,,,,
100,0200000004,00010,MZ-TG-E202,1002,2181,738283,,,,4,EA,EA,,,6019.73,1,"4024,13",4599,,,,,,V2,,,,,,,,,
100,0200000005,00010,MZ-TG-E202,4000,8799,920631,,,,10,EA,EA,,,8445.96,1,"4024,13",4599,,,X,,,V3,,,,,,,,,
100,0200000005,00020,MZ-FG-E108,3000,4397,779300,,,,7,EA,EA,,,2367.05,1,"1136,63",1299,,,,,,,,,,,,,,,
200,0200000005,00030,MZ-FG-P010,1002,7054,144560,,,,10,EA,EA,,,9137.75,1,"1049,13",1199,,,X,,,V2,,,,,,,,,
100,0200000005,00040,MZ-FG-M550,4000,3328,748162,,,,3,EA,EA,,,4198.26,1,"2186,63",2499,,,X,,,V1,,,,,,,,,
100,0200000005,00050,MZ-TG-A27,1000,1942,694171,,,,9,EA,EA,,,937.5,1,"1968,75",2250,,,X,,,V1,,,,,,,,,
100,0200000005,00060,MZ-TG-A25,5001,8819,172486,,,,4,EA,EA,,,2912.63,1,"1312,5",1500,,,X,,,,,,,,,,,,
100,0200000007,00010,MZ-TG-Y120,2001,2350,612856,,,,3,EA,EA,,,6748.23,1,"6912,5",7900,,,,,,,,,,,,,,,
100,0200000007,00020,M-01,2001,8076,309818,,,,8,EA,EA,,,5514.12,1,"279,13",319,,,X,,,V3,,,,,,,,,
100,0200000007,00030,MZ-TG-E202,1001,9139,084079,,,,9,EA,EA,,,716.99,1,"4024,13",4599,,,X,,,,,,,,,,,,
100,0200000007,00040,MZ-FG-R300,1002,0109,440703,,,,7,EA,EA,,,1075.98,1,"1093,75",1250,,,X,,,V2,,,,,,,,,
100,0200000009,00010,MZ-FG-E108,3001,9022,578961,,,,1,EA,EA,,,2861.31,1,"1136,63",1299,,,X,,,V3,,,,,,,,,
100,0200000009,00020,MZ-FG-C950,4000,6211,042315,,,,5,EA,EA,,,8924.94,1,"602,88",689,,,X,,,V1,,,,,,,,,
100,0200000009,00030,MZ-TG-E202,5001,8747,373866,,,,9,EA,EA,,,8592.82,1,"4024,13",4599,,,X,,,,,,,,,,,,
100,0200000009,00040,MZ-FG-R200,1002,3095,303162,,,,8,EA,EA,,,9489.3,1,"1311,63",1499,,,,,,V1,,,,,,,,,
100,0200000010,00010,MZ-FG-E15,3001,9689,503891,,,,6,EA,EA,,,6510.16,1,"3499,13",3999,,,,,,V3,,,,,,,,,
100,0200000010,00020,M1,4000,6521,810777,,,,9,EA,EA,,,111.22,1,1001,1144,,,X,,,V2,,,,,,,,,
100,0200000010,00030,MZ-FG-C10,1001,3804,523726,,,,8,EA,EA,,,131.25,1,1050,1200,,,X,,,,,,,,,,,,
100,0200000010,00040,MZ-FG-C900,5001,9603,712027,,,,5,EA,EA,,,1530.77,1,"459,38",525,,,X,,,V1,,,,,,,,,
100,0200000010,00050,MZ-FG-E103,1002,5786,147249,,,,10,EA,EA,,,4648.97,1,"392,88",449,,,X,,,,,,,,,,,,
100,0200000011,00010,MZ-FG-R300,1002,0521,023876,,,,8,EA,EA,,,5015.34,1,"1093,75",1250,,,X,,,V1,,,,,,,,,
100,0200000011,00020,MZ-FG-R200,3000,8540,850875,,,,8,EA,EA,,,343.51,1,"1311,63",1499,,,,,,,,,,,,,,,
100,0200000011,00030,MZ-FG-C20,3000,1473,683194,,,,8,EA,EA,,,1245.27,1,"1190,88",1361,,,,,,V2,,,,,,,,,
100,0200000011,00040,MZ-TG-SR01,2000,0181,177117,,,,5,EA,EA,,,840.0,1,4200,4800,,,,,,V2,,,,,,,,,
100,0200000011,00050,MZ-FG-M500,1001,9130,054343,,,,9,EA,EA,,,8940.19,1,"4811,63",5499,,,,,,,,,,,,,,,
100,0200000011,00060,MZ-FG-C20,1000,3090,771864,,,,9,EA,EA,,,7072.27,1,"1190,88",1361,,,,,,V3,,,,,,,,,
100,0200000012,00010,FG226,1002,7075,946012,,,,6,EA,EA,,,5273.3,1,"261,63",299,,,X,,,,,,,,,,,,
100,0200000012,00020,MZ-TG-Y240,1002,6373,858988,,,,8,EA,EA,,,43.75,1,350,400,,,,,,V2,,,,,,,,,
100,0200000013,00010,MZ-FG-C990,1002,9485,060944,,,,8,EA,EA,,,916.12,1,"630,88",721,,,X,,,,,,,,,,,,
100,0200000013,00020,MZ-TG-A20,3001,2593,972563,,,,6,EA,EA,,,9719.11,1,"3499,13",3999,,,,,,,,,,,,,,,
100,0200000013,00030,MZ-FG-E102,2000,3165,409597,,,,9,EA,EA,,,4052.98,1,"349,13",399,,,X,,,V2,,,,,,,,,
100,0200000016,00010,MZ-FG-C20,5001,2425,908904,,,,8,EA,EA,,,7639.17,1,"1190,88",1361,,,,,,V1,,,,,,,,,
100,0200000016,00020,MZ-FG-M525,4000,1091,907529,,,,2,EA,EA,,,385.22,1,"1749,13",1999,,,X,,,,,,,,,,,,
100,0200000017,00010,MZ-FG-C21,3000,0807,334764,,,,5,EA,EA,,,751.63,1,"567,88",649,,,,,,,,,,,,,,,
100,0200000017,00020,M1,1000,2949,135546,,,,2,EA,EA,,,500.5,1,1001,1144,,,X,,,,,,,,,,,,
100,0200000017,00030,MZ-TG-E202,1002,2831,792782,,,,6,EA,EA,,,6977.14,1,"4024,13",4599,,,X,,,V1,,,,,,,,,
100,0200000017,00040,CM-FL-V00,3000,9265,415519,,,,5,EA,EA,,,8889.03,1,"699,13",799,,,X,,,V1,,,,,,,,,
100,0200000017,00050,MZ-FG-C10,5000,8504,308549,,,,8,EA,EA,,,131.25,1,1050,1200,,,,,,V1,,,,,,,,,
100,0200000018,00010,MZ-FG-C20,2000,2661,262911,,,,2,EA,EA,,,3244.34,1,"1190,88",1361,,,X,,,,,,,,,,,,
100,0200000018,00020,MZ-TG-A20,5001,3083,421914,,,,8,EA,EA,,,6349.79,1,"3499,13",3999,,,,,,V2,,,,,,,,,
100,0200000018,00030,MZ-FG-C20,3000,2454,708710,,,,7,EA,EA,,,8670.43,1,"1190,88",1361,,,,,,V3,,,,,,,,,
100,0200000018,00040,MZ-FG-C990,4000,9295,357146,,,,4,EA,EA,,,9989.52,1,"630,88",721,,,X,,,V2,,,,,,,,,
100,0200000019,00010,M-01,4000,8445,378203,,,,1,EA,EA,,,3807.84,1,"279,13",319,,,,,,V2,,,,,,,,,
100,0200000019,00020,MZ-FG-E102,2001,6283,840484,,,,3,EA,EA,,,3468.44,1,"349,13",399,,,,,,V1,,,,,,,,,
100,0200000019,00030,MZ-FG-C990,1001,1610,363597,,,,10,EA,EA,,,6763.57,1,"630,88",721,,,X,,,V1,,,,,,,,,
100,0200000020,00010,MZ-TG-Y200,1001,8824,306831,,,,7,EA,EA,,,9950.77,1,"349,13",399,,,,,,V1,,,,,,,,,
100,0200000020,00020,FG226,4000,7484,704774,,,,6,EA,EA,,,6966.51,1,"261,63",299,,,X,,,V1,,,,,,,,,
100,0200000022,00010,MZ-TG-A25,4000,9235,357519,,,,4,EA,EA,,,1436.28,1,"1312,5",1500,,,X,,,V1,,,,,,,,,
100,0200000023,00010,M-01,1000,3142,283620,,,,5,EA,EA,,,4086.98,1,"279,13",319,,,X,,,V3,,,,,,,,,
100,0200000023,00020,MZ-FG-C990,1002,8000,286716,,,,8,EA,EA,,,1114.44,1,"630,88",721,,,,,,,,,,,,,,,
100,0200000023,00030,MZ-TG-A27,1000,3185,962270,,,,10,EA,EA,,,9058.66,1,"1968,75",2250,,,,,,V3,,,,,,,,,
100,0200000023,00040,MZ-FG-E103,1001,9596,134520,,,,3,EA,EA,,,1795.2,1,"392,88",449,,,X,,,V2,,,,,,,,,
100,0200000023,00050,MZ-FG-P010,4000,3475,590935,,,,1,EA,EA,,,2955.95,1,"1049,13",1199,,,,,,V3,,,,,,,,,
100,0200000025,00010,M1,3001,8167,538613,,,,3,EA,EA,,,333.67,1,1001,1144,,,X,,,V3,,,,,,,,,
100,0200000025,00020,MZ-FG-R300,5001,3343,354659,,,,4,EA,EA,,,5714.13,1,"1093,75",1250,,,,,,V1,,,,,,,,,
100,0200000026,00010,MZ-FG-M550,5001,7904,664823,,,,6,EA,EA,,,1811.91,1,"2186,63",2499,,,X,,,V2,,,,,,,,,
100,0200000026,00020,FG226,2001,7379,999771,,,,1,EA,EA,,,3291.05,1,"261,63",299,,,,,,,,,,,,,,,
100,0200000026,00030,MZ-TG-A20,2001,9240,108828,,,,10,EA,EA,,,7381.37,1,"3499,13",3999,,,,,,V1,,,,,,,,,
100,0200000026,00040,TG11,3000,0519,204738,,,,5,EA,EA,,,525.0,1,2625,3000,,,X,,,V1,,,,,,,,,
100,0200000026,00050,FG226,4000,7045,026945,,,,2,EA,EA,,,1406.73,1,"261,63",299,,,,,,V2,,,,,,,,,
