MANDT,KUNNR,LAND1,NAME1,NAME2,NAME3,NAME4,ORT01,ORT02,PSTLZ,REGIO,SORTL,STRAS,TELF1,TELF2,TELFX,TELTX,XCPDK,STCD1,STCD2,STKZU,ERDAT,ERNAM,KTOKD,SPRAS,ANRED,MCOD1,MCOD2,MCOD3,LOEVM,SPERR
100,0000000001,ES,All For Bikes,N/A,,,Rodriguezland   ,Abreu,743-9783,PA,ALL FOR BI,802 Sara Freeway,622734567,,,,,1275305111,,X,20210603,10,DEBI,J,,ALL FOR BIKES   ,,,X,
100,0000000002,GB,Amaze Bikes Inc,N/A,N/A,,North Samfort,Wolgast,16488,RS,AMAZE BIKE   ,33 Richard Path   ,3088530,,,,,5857611241,,X,20210603,13,0001,F,Ms.,AMAZE BIKES INC,,,,
100,0000000003,IN,Arena Sports Inc,,N/A,,Thomas,Guillou,S6S 7WU,BA,ARENA SPOR,"Vereda de Duarte, 84",3023352668   ,,,,,3505210897,,,20210603,14,D001,F,Ms.,ARENA SPORTS INC,,,,
100,0000000004,SE,Atlanta Corp Inc,,,,Gautier,,16801,DF,ATLANTA CO,Binnergasse 2-7,511403266,(0115) 4960121,+55 41 4027-6036,,,0600861919,,X,20210603,10,0001,F,Herr,ATLANTA CORP INC,,,,
100,0000000005,GB,Bike World Inc,- EI,,,香取郡東庄町,Mendonça,66182-102,MT,BIKE WORLD,628 坂本 Street,2244668800,,,,,2730287673,,X,20210603,4,0001,J,Herr,BIKE WORLD INC,,,,
100,0000000006,KR,Tona Bikes AG,KG,,,Brito da Prata   ,East Shaun,657-3051,GO,TONA BIKES,427 伊藤 Street,7257716,(224)951-9527x78,090-5770-1208,,,0885203304,,,20210603,8,D001,F,Firma,TONA BIKES AG,,,,
100,0000000007,IT,Meine Bicycle,N/A,,,Kellyport,,97207,MG,MEINE BICY,"48, rue de Traore",1133557799,(084) 6613-6548,,,,8089773517,,X,20210603,13,D001,P,Firma,MEINE BICYCLE,,,,
100,0000000008,US,Bike On,Group,N/A,,North Andreaport,N/A,96839,MA,BIKE ON,499 森 Street,6623612804,,,,,2972800327,,,20210603,13,0001,D,,BIKE ON,,,,
100,0000000009,KR,Keep Cycling,and Sons,,,Sainte Charlotte   ,N/A,SR45 8RH,WA,KEEP CYCLI   ,501 Colleen Wall Suite 327   ,5850428367   ,,,,,8001324645,,X,20210603,6,D001,P,Herr,KEEP CYCLING,,,,
100,0000000010,ES,Müller GmbH,S.A.R.L.,N/A,,Port Danielchester,御蔵島村,M99 5JH,AL,MÜLLER GMB,438 Larson Squares   ,7609448173   ,,,,,N/A,,,20210603,14,0001,F,Herr,MÜLLER GMBH,,,,
100,0000000011,IT,CC SportWorld,and Sons,,,New Kieran,Connollychester,57608,PR,CC SPORTWO,Nelli-Preiß-Weg 91/81,6879342945,,(061) 2664 9470,,,1301470930,,X,20210603,8,D001,D,Mr.,CC SPORTWORLD,,,X,
100,0000000012,BR,DigiPay,Group,N/A,,Riveraton,,58728,RN,DIGIPAY,Esplanada Sarah Rodrigues,2208791738,,41 8508-5874,,,4667984676,,X,20210603,5,0001,E,Herr,DIGIPAY   ,,,,
100,0000000013,KR,eBike 100,Group,,,Sanchez-sur-Mer,N/A,TW08 3ZF,AL,EBIKE 100,950 松本 Street,6328490087,,(051) 7712 2311,,,2500926375,,X,20210603,6,0001,P,Mr.,EBIKE 100,,,,
100,0000000014,AT,MX Bike,et Fils,,,Dos Santos,江戸川区,LL1X 4AF,RO,MX BIKE,Köhlergasse 3923,3629731486,,,,,N/A,,X,20210603,8,DEBI,F,Herr,MX BIKE,,,,
100,0000000015,DE,Ebike 36,and Sons,,,安房郡鋸南町,印旛郡印旛村,95814-335,AM,EBIKE 36   ,"Estação de Aragão, 95",2483693027,,,,,8862768847,,,20210603,3,0001,D,Ms.,EBIKE 36,,,,
100,0000000016,KR,Wichita Sport,PLC,,,North Jasmineberg,N/A,SR2 2JE,UT,WICHITA SP   ,Margret-Striebitz-Platz 6-5,2094573421,73-6411-0857,,,,,,X,20210603,1,DEBI,P,,WICHITA SPORT,,,,
100,0000000017,CN,TechCycle,KG,N/A,,Lake Stewartbury,Garcia,90725,IA,TECHCYCLE   ,86423 King Junctions,3540671320,,,,,2830081576,,,20210603,4,0001,P,Mr.,TECHCYCLE,,,,
100,0000000018,CN,YourCycleShop,e Filhos,,,Perret   ,Clarkville,464-1650,SC,YOURCYCLES,"Trevo Fogaça, 98",7315064077,956-875-3668x397,,,,1913726691,,,20210603,7,DEBI,J,,YOURCYCLESHOP,,,,
100,0000000019,KR,E bike 201,Ltda.,,,横浜市磯子区   ,,12327,MP,E BIKE 201,709 斎藤 Street   ,9703586412,,,,,2169305264,,X,20210603,4,DEBI,D,,E BIKE 201   ,,,,
100,0000000020,AT,The Cycle Factor,,,,da Cruz   ,Perkinsmouth,81589,ES,THE CYCLE ,"Flat 50A
Richards Flat",6843585642,,070-7553-9083,,,,,X,20210603,3,0001,F,Ms.,THE CYCLE FACTOR   ,,,,
100,0000000021,BR,Hall-Cox,,,,利島村,Pritzwalk,815-5022,MA,HALL-COX,"Chácara Cavalcante, 211",+49 (0) 2330 021   ,,,,,7685133493,,X,20240209,twatts,0001,J,Firma,HALL-COX,,,,
100,0000000022,IN,Abreu,PLC,,,Barbosa do Amparo,,40730,FL,ABREU,"Flat 49
Lewis Roads",090-5484-8290,,,,,,,,20171004,taroinoue,D001,D,Frau,ABREU,,,,
100,0000000023,BE,長谷川鉱業有限会社,,,,町田市,,58472,MP,長谷川鉱業有限会社,"Studio 62P
Stephanie Tunnel",07058530157,,,,,0932790496,,,20230707,chantal89,DEBI,D,Ms.,長谷川鉱業有限会社,,,,
100,0000000024,GB,Adler GmbH & Co. KGaA,,N/A,,South Bruce   ,Parsberg,12043,NM,ADLER GMBH,rue de Morin,60-2582-3767,,(208)421-7468x79,,,N/A,,X,14.06.2025,cynthiasteve,DEBI,J,Mr.,ADLER GMBH & CO. KGAA,,,,
100,0000000025,NL,Lévy Rousset et Fils,GmbH,N/A,,Mendonça do Galho,Jessen,15735-369,OK,LÉVY ROUSS   ,Evangelos-Krebs-Gasse 551   ,+55 61 6853-0029   ,,,,,1101428021,,X,06.05.2026,takahashimin,DEBI,D,Ms.,LÉVY ROUSSET ET FILS,,,,
100,0000000026,IN,Finke Lübs OHG mbH,N/A,,,FoucherBourg,,49642,AM,FINKE LÜBS,Radischweg 2-3   ,(0151)4960527,,406.324.6115x962,,,,,,17.11.2011,ramosalexand,DEBI,F,Mr.,FINKE LÜBS OHG MBH,,,,
100,0000000027,PL,山本運輸有限会社,Inc,N/A,,Edwardsfurt,,L09 1FX,AC,山本運輸有限会社,405 山口 Street,(0131) 4960324,,,,,5855573692,,,20.05.2021,wmeyer,DEBI,E,Frau,山本運輸有限会社   ,,,,
100,0000000028,IN,"Patterson, Holloway and Snyder   ",S.A.R.L.,,,MoreauVille   ,DijouxVille,02982-564,AR,"PATTERSON,","Fazenda Vargas, 10",0277243686   ,001-368-232-5966,,,,3875508314,,,20190719,scott85,DEBI,P,Firma,"PATTERSON, HOLLOWAY AND S   ",,,,
100,0000000029,AT,Johnson-Wilkinson   ,S.A.S.,,,Meiningen,Donaueschingen,25517-641,WI,JOHNSON-WI,3273 Elliott Cliff,+49(0)7551 61332,+49(0)3250 17084,435.937.7839,,,6988487860,,,20120924,fbiggen,DEBI,F,Mr.,JOHNSON-WILKINSON,,,,
100,0000000030,DE,Vaughan Ltd,Group,N/A,,Cunha,,61939,CE,VAUGHAN LT,"71, rue Valérie Boulanger",070-3071-4458,,+44(0)909 879 00,,,N/A,,,14.04.2021,revans,D001,F,Frau,VAUGHAN LTD,,,,
100,0000000031,US,Rodriguez,- EI,,,Malchin,,589-1954,VA,RODRIGUEZ,"Colônia Cavalcanti, 21   ",(09409) 00277,,+55 21 9476-6519,,,8935806041,,,07.12.2021,nicolas15,0001,E,Frau,RODRIGUEZ,,,,
100,0000000032,IN,"Johnson, Mitchell and Brennan",N/A,,,Castanedastad,Göttingen,01920,PE,"JOHNSON, M","821, rue de Duval",62-3591-0857,,+44(0)117 496 07,,,6562222832,,,16.11.2025,harukawatana,DEBI,J,Firma,"JOHNSON, MITCHELL AND BRE",,,,
100,0000000033,CH,Alexandre,N/A,N/A,,New Holly,N/A,77997120,NY,ALEXANDRE   ,594 近藤 Street,(071) 1979 6236,,,,,N/A,,X,10.04.2018,zwatson,DEBI,D,Ms.,ALEXANDRE   ,,,,
100,0000000034,BR,Bright-Reed,,,,Bailly,Lake Marialand,35562,RS,BRIGHT-REE   ,131 Anthony Ville Suite 295,(084) 2808 7802,,,,,9779816639,,X,20120421,gustavorios,DEBI,P,Frau,BRIGHT-REED,,,,
100,0000000035,NL,Berthelot Legendre S.A.S.   ,S.A.R.L.,,,Sainte Noël-sur-Mer,Smithside,93098,OK,BERTHELOT ,Dehmelweg 82/20   ,090-9976-2077   ,(01632) 960 206,,,,8142690805,,,20120407,lidia90,0001,D,Frau,BERTHELOT LEGENDRE S.A.S.   ,,,,
100,0000000036,IN,Lejeune,SA,,,Jonathanshire   ,New Katyport,56741,AM,LEJEUNE,834 林 Street,(398)702-5965x44,,(05249) 899184,,,5179999248,,X,20230827,damianernst,DEBI,E,Mr.,LEJEUNE   ,,,,
100,0000000037,CN,شركة أرامكو السعودية,GmbH & Co. KG,N/A,,東大和市,Smithberg,465-8540,CA,شركة أرامك,34 Naomi Fork,64-1628-4076,,,,,4528918715,,X,20170827,fliebelt,DEBI,E,Mr.,شركة أرامكو السعودية,,,,
