MANDT,KUNNR,BUKRS,AKONT,ZTERM,WAERS,ZUAWA,BEGRU,ALTKN,REPRF
100,0000001195,2000,644394,NT60,BRL,003,0001,,
100,0000001435,4000,414161,0002,EUR,003,0002,,
100,0000001323,4000,903761,NT60,EUR,001,0001,,X
100,0000001960,4000,134516,NT30,CNY,001,0003,,
100,0000001828,4000,417424,NT30,GBP,003,0003,,
100,0000001518,5000,267937,0003,USD,002,0001,,X
100,0000000332,5000,778585,NT30,CHF,001,,,X
100,0000001701,1000,572508,2/10NET30,AUD,001,,,
100,0000000140,1000,316380,0003,GBP,002,0001,,
100,0000000444,2000,549571,0003,KRW,003,0002,,
100,0000000294,3000,554790,0002,CHF,001,0002,,
100,0000000880,4000,545546,NT60,JPY,003,0001,,
100,0000000718,2000,440022,NT60,CAD,003,,,X
100,0000001668,4000,451840,NT30,JPY,002,0002,,
100,0000000408,1000,888397,NT90,KRW,003,0003,,
100,0000000094,4000,513292,NT90,EUR,002,0002,,X
100,0000001680,2000,809742,0003,CNY,001,,,X
100,0000001169,5000,600405,NT30,KRW,002,0003,,
100,0000000805,2000,849788,NT60,AUD,003,,,
100,0000000995,3000,113026,NT60,AUD,003,0001,,X
100,0000000261,5000,197388,2/10NET30,USD,003,,,X
100,0000000760,2000,767999,0001,BRL,002,,,
100,0000001027,4000,298481,NT90,GBP,003,0001,,X
100,0000001841,5000,818092,2/10NET30,CHF,001,0003,,
100,0000000626,1000,725510,NT90,JPY,002,,,X
100,0000000530,2000,176544,0001,EUR,001,0002,,X
100,0000000619,1000,099913,0002,USD,002,0001,,
100,0000000128,4000,998423,0003,CNY,003,0003,,
100,0000001681,1000,700570,0002,USD,002,0003,,
100,0000000648,3000,421740,0002,AUD,003,0002,,
100,0000001345,3000,518749,0001,BRL,001,0003,,X
100,0000001318,5000,571772,NT90,EUR,002,,,X
100,0000001828,2000,655138,2/10NET30,EUR,002,,,
100,0000000825,2000,521401,0002,GBP,003,,,
100,0000001512,5000,836699,NT60,CHF,003,,,X
100,0000001109,5000,793924,NT30,CHF,002,,,
100,0000001523,2000,937427,0001,JPY,002,0002,,X
100,0000000372,1000,918992,2/10NET30,AUD,001,0001,,X
100,0000001123,5000,282711,0003,CHF,002,,,X
100,0000000252,1000,535119,0002,KRW,001,,,
100,0000001869,1000,498495,0001,CHF,001,0003,,
100,0000001584,1000,477005,2/10NET30,KRW,001,0003,,X
100,0000000929,3000,468198,NT90,BRL,002,0002,,X
100,0000000982,5000,340401,0003,JPY,002,,,
100,0000000407,4000,936790,NT30,AUD,003,0001,,X
100,0000000663,2000,428416,0001,CNY,003,0003,,
100,0000001483,4000,780537,0001,USD,001,0003,,X
100,0000001374,2000,101885,NT30,BRL,002,0003,,X
100,0000001001,3000,444693,2/10NET30,JPY,003,,,
100,0000001890,3000,038519,NT30,CNY,002,0003,,
100,0000000602,5000,610860,0002,EUR,002,0001,,X
100,0000000603,3000,743315,0001,AUD,002,,,X
100,0000001804,4000,910120,0001,EUR,003,0003,,
100,0000001288,3000,574638,NT30,GBP,003,,,X
100,0000001619,5000,925139,NT60,CNY,001,0001,,
100,0000000817,2000,202899,0003,CAD,001,0002,,
100,0000001528,1000,445392,2/10NET30,CHF,001,0003,,X
100,0000000375,2000,594524,NT90,CAD,003,,,
100,0000000825,5000,327699,NT60,AUD,003,0003,,X
100,0000001034,1000,494035,NT90,BRL,003,0001,,
100,0000001061,5000,158822,0002,EUR,002,,,
100,0000001645,2000,551802,0001,BRL,001,0003,,
100,0000000180,2000,032946,0002,CHF,001,0002,,
100,0000000346,5000,433137,NT30,GBP,001,0002,,X
100,0000000377,3000,981355,NT30,CHF,002,0003,,X
100,0000001214,5000,847603,NT30,KRW,002,0001,,
100,0000001923,4000,040399,NT60,USD,003,0001,,X
100,0000001207,4000,102895,2/10NET30,BRL,001,,,
100,0000001255,1000,571098,NT90,USD,001,0003,,
100,0000000715,3000,993896,NT30,KRW,003,0002,,X
100,0000000766,2000,990588,NT30,JPY,001,,,
100,0000000372,2000,313916,0002,JPY,002,0002,,
100,0000000692,3000,753572,NT60,EUR,003,0001,,
100,0000001447,5000,242428,NT90,JPY,001,,,
100,0000000221,1000,272797,0003,KRW,001,0001,,
100,0000001245,3000,652476,NT90,BRL,001,,,
100,0000000798,5000,275262,NT90,EUR,002,,,X
100,0000000268,5000,488523,2/10NET30,AUD,001,0001,,X
100,0000000476,1000,181731,NT60,CAD,001,0002,,X
100,0000000494,2000,818247,0003,CNY,003,0003,,
100,0000000277,3000,152612,NT60,KRW,003,0001,,X
100,0000000764,5000,615012,NT30,BRL,001,0002,,
100,0000000359,4000,112299,2/10NET30,CNY,003,,,
100,0000000298,2000,478425,0003,CNY,003,0003,,
100,0000001068,2000,733669,0001,CAD,003,0001,,
100,0000001876,5000,461275,0002,KRW,002,0003,,
100,0000000962,4000,438176,2/10NET30,KRW,001,0003,,X
100,0000001883,2000,150412,NT30,BRL,002,0003,,X
100,0000000369,4000,093343,NT60,AUD,003,0001,,
100,0000000058,2000,261322,NT60,JPY,001,0003,,
100,0000001783,3000,647237,NT60,CAD,002,0001,,
100,0000001236,5000,198156,0001,CAD,003,0001,,
100,0000001223,2000,721924,NT90,CHF,002,0002,,X
100,0000001109,2000,395920,NT60,KRW,001,0001,,
100,0000001762,4000,386238,0001,KRW,003,0002,,X
100,0000000274,5000,679703,0003,GBP,003,,,X
100,0000001359,4000,123650,NT30,USD,002,,,X
100,0000001588,4000,754945,0003,CAD,002,,,
100,0000001493,3000,931387,0002,CAD,002,0003,,X
100,0000001717,5000,551558,0002,GBP,003,0003,,X
100,0000000537,2000,301443,2/10NET30,USD,003,0002,,X
100,0000000961,1000,984601,NT30,EUR,003,,,X
100,0000001689,2000,599131,0001,GBP,002,0001,,
100,0000001538,3000,862844,0001,GBP,001,0002,,X
100,0000000468,2000,581754,0003,CHF,003,0002,,X
100,0000000068,5000,961821,NT90,EUR,003,,,X
100,0000001918,1000,189930,2/10NET30,USD,001,0001,,
100,0000001127,3000,797335,NT90,CAD,002,0002,,X
100,0000001995,3000,405090,2/10NET30,JPY,001,0002,,
100,0000001257,3000,733429,0001,JPY,003,0003,,
100,0000001389,5000,169764,NT90,KRW,002,0002,,
100,0000000376,1000,486005,0001,CAD,002,,,X
100,0000000445,1000,627526,2/10NET30,CNY,002,0001,,
100,0000001353,1000,687640,NT90,BRL,001,0002,,X
100,0000000080,5000,265871,0003,AUD,002,,,X
100,0000000602,1000,231065,0002,GBP,001,0002,,X
100,0000000893,5000,199354,NT90,CAD,002,0002,,X
100,0000000174,2000,568470,2/10NET30,EUR,003,0003,,
100,0000000291,4000,564774,0003,USD,001,0002,,
100,0000001358,1000,568294,0001,CNY,003,,,
100,0000000066,4000,439505,NT60,USD,002,0003,,
100,0000001382,4000,633847,0001,JPY,001,0003,,X
100,0000001581,4000,465749,NT30,AUD,001,0001,,X
100,0000001452,3000,352587,NT90,AUD,003,0001,,X
100,0000001231,4000,655400,0003,GBP,002,,,X
100,0000001757,4000,377205,0001,CNY,003,,,X
100,0000001211,2000,497218,0002,GBP,003,0001,,X
100,0000000383,2000,158424,NT30,KRW,003,0003,,
100,0000001263,3000,008641,NT30,CHF,001,0002,,X
100,0000001240,4000,061181,0003,CAD,001,0003,,X
100,0000000744,1000,711632,0002,GBP,001,0002,,
100,0000001439,3000,051889,NT90,KRW,002,,,X
100,0000000651,1000,675345,NT60,CNY,001,,,
100,0000000155,5000,346704,2/10NET30,EUR,001,0002,,
100,0000000233,3000,310702,NT30,KRW,003,0001,,X
100,0000000963,5000,028785,NT30,CNY,003,0003,,X
100,0000000370,5000,138095,NT90,KRW,001,0003,,X
100,0000001755,1000,042069,0003,USD,002,0002,,
100,0000000987,2000,379624,0001,AUD,003,0003,,
100,0000001464,1000,561225,NT30,GBP,001,0003,,
100,0000001041,5000,662235,NT90,GBP,001,,,X
100,0000001558,1000,917250,0003,CNY,003,,,
100,0000001600,4000,705502,0001,GBP,002,,,X
100,0000001378,1000,505887,0002,CAD,001,0001,,
100,0000001928,4000,141046,0001,EUR,002,,,X
100,0000000968,5000,590338,NT60,EUR,003,0003,,
100,0000000620,4000,431153,NT30,USD,003,0001,,X
100,0000001376,3000,897933,NT30,USD,003,0001,,
100,0000000019,2000,525681,NT30,CAD,002,0003,,X
100,0000001835,4000,401340,0001,BRL,001,,,
200,0000001609,4000,903751,0003,JPY,001,0003,,X
100,0000001210,1000,410314,0003,BRL,003,0002,,
100,0000001692,1000,788869,0003,BRL,003,0001,,
100,0000001335,4000,583579,2/10NET30,EUR,003,0002,,X
100,0000000050,5000,609421,2/10NET30,CNY,002,0003,,
100,0000001592,3000,048447,0001,USD,001,0003,,
100,0000001156,4000,199575,NT60,AUD,003,0003,,
100,0000000514,3000,948406,2/10NET30,AUD,002,0001,,X
100,0000000856,4000,691455,NT60,JPY,003,,,X
100,0000001587,2000,581715,2/10NET30,CHF,001,,,
100,0000001459,4000,673324,NT30,CHF,001,0001,,
100,0000000704,2000,218695,0001,USD,003,0002,,X
100,0000001766,5000,907692,0002,GBP,003,0002,,X
100,0000001485,3000,289932,0002,CNY,001,0003,,
100,0000000989,3000,630581,0002,CHF,002,,,X
100,0000001351,2000,156113,NT90,KRW,001,0003,,
200,0000001148,3000,665722,NT30,CHF,002,0002,,X
100,0000000494,1000,567539,2/10NET30,CHF,003,0002,,X
100,0000001362,3000,866731,0002,EUR,003,0003,,X
100,0000000565,5000,306276,2/10NET30,GBP,002,0002,,
100,0000001294,2000,389942,2/10NET30,AUD,002,0003,,X
100,0000001045,3000,558451,2/10NET30,JPY,002,,,X
100,0000000839,5000,294604,NT30,GBP,001,0001,,
100,0000001403,2000,316497,NT90,CNY,002,0001,,X
100,0000001421,3000,989629,NT60,CHF,001,0001,,
100,0000000441,4000,234340,0003,BRL,002,0001,,
100,0000001400,1000,988112,NT60,AUD,001,0001,,X
100,0000000197,3000,064952,NT60,EUR,003,0001,,
100,0000000129,2000,904444,NT90,AUD,002,,,X
100,0000000426,3000,388428,NT90,GBP,003,,,
100,0000001246,3000,253191,NT30,USD,003,0003,,
100,0000001980,3000,933449,NT60,KRW,003,0003,,X
100,0000000822,2000,822576,0001,JPY,002,0001,,
100,0000000873,4000,094812,NT30,CNY,001,0001,,
100,0000001702,4000,285785,0002,AUD,001,,,
100,0000001176,2000,138527,0001,EUR,001,,,
100,0000000011,4000,160716,2/10NET30,CAD,001,0002,,
100,0000001606,5000,398517,0002,BRL,002,,,X
100,0000000343,1000,778522,NT90,JPY,002,0002,,X
100,0000000425,4000,859847,0002,BRL,002,,,
100,0000001570,2000,348252,NT60,CHF,003,0003,,
100,0000000432,4000,050852,0001,JPY,001,,,X
100,0000001964,1000,425228,NT90,CAD,003,0003,,
100,0000001429,5000,392663,2/10NET30,EUR,003,,,
100,0000001041,4000,114199,2/10NET30,KRW,003,0002,,X
100,0000001895,2000,043789,NT30,KRW,003,,,X
100,0000000779,5000,506804,NT30,CNY,002,0002,,
100,0000001341,3000,409251,0002,GBP,002,0001,,
100,0000000240,4000,402247,2/10NET30,CNY,003,0003,,X
100,0000000847,3000,248796,0002,CAD,002,0002,,X
100,0000001571,5000,636754,NT90,BRL,002,,,X
100,0000001436,4000,714019,NT90,CHF,002,,,X
100,0000000163,4000,335258,0003,EUR,002,0003,,X
100,0000000952,5000,251741,0002,AUD,003,0001,,X
100,0000000031,2000,794504,NT60,USD,001,0001,,
100,0000001545,2000,147170,2/10NET30,CNY,002,0003,,
100,0000000386,1000,624801,2/10NET30,AUD,002,0003,,
100,0000001243,2000,517764,NT30,CAD,003,0001,,
100,0000000638,3000,954077,NT30,BRL,001,0002,,X
100,0000001741,4000,349555,0003,AUD,003,0001,,X
100,0000000927,1000,772997,0003,CAD,001,,,X
100,0000001561,4000,587543,0003,CNY,003,0003,,
100,0000001823,2000,325170,NT60,EUR,003,0001,,
100,0000001984,1000,591240,0001,CHF,001,0002,,
100,0000000485,2000,936965,NT90,CAD,003,0002,,X
100,0000001466,1000,902954,NT60,CHF,003,0001,,X
100,0000001041,5000,065290,NT60,GBP,002,0003,,
100,0000000681,4000,284716,NT60,EUR,002,0003,,
100,0000000678,3000,709398,NT30,USD,001,0002,,X
100,0000001886,2000,755354,NT60,AUD,002,0003,,X
100,0000001910,4000,453777,0003,AUD,003,0001,,X
100,0000001789,1000,710687,NT90,KRW,001,0001,,X
100,0000000389,5000,387315,2/10NET30,KRW,001,0001,,X
100,0000000011,4000,787354,NT30,CAD,002,,,X
100,0000001286,4000,526149,0001,USD,002,0002,,X
100,0000000266,3000,593392,NT30,BRL,003,0001,,
100,0000001256,4000,635431,NT60,AUD,002,0002,,X
100,0000001922,4000,352499,NT60,AUD,001,0002,,X
100,0000001670,2000,243361,NT90,GBP,003,0001,,
100,0000001241,4000,406916,2/10NET30,USD,001,0002,,X
100,0000000786,4000,394091,NT90,USD,003,0003,,
100,0000000395,5000,673629,0002,KRW,002,0001,,X
100,0000001289,2000,589507,NT30,USD,001,0002,,
100,0000001347,2000,748541,2/10NET30,JPY,003,,,
100,0000001938,2000,249869,0003,JPY,003,0001,,
100,0000000214,3000,933208,NT90,USD,002,0003,,
100,0000001117,5000,458158,2/10NET30,EUR,001,0001,,
100,0000001799,4000,830760,2/10NET30,KRW,001,,,X
100,0000000029,4000,448021,0001,CNY,002,0003,,X
100,0000000412,5000,445506,0002,EUR,003,0002,,
100,0000000944,1000,652487,0003,KRW,002,,,X
100,0000001870,5000,328558,0003,CNY,003,0002,,
100,0000000030,1000,548007,NT60,KRW,002,0001,,
100,0000001456,2000,175812,2/10NET30,KRW,002,,,X
100,0000000901,2000,726980,0003,KRW,002,0003,,
100,0000001171,2000,732480,2/10NET30,USD,003,0002,,
100,0000000214,3000,422344,NT30,USD,003,,,
100,0000001255,1000,725374,NT90,CNY,002,0001,,
100,0000001596,5000,536555,0002,KRW,001,0003,,X
100,0000000084,4000,105528,0003,USD,002,0002,,X
100,0000000528,4000,732145,0002,KRW,002,,,X
100,0000001353,2000,562067,NT30,CAD,003,0003,,X
100,0000001949,2000,460616,0002,USD,002,0003,,X
100,0000001090,4000,581499,2/10NET30,AUD,001,0002,,
100,0000000294,5000,149171,2/10NET30,CNY,001,0002,,X
100,0000001744,2000,243792,0003,CAD,001,0003,,X
100,0000001361,3000,232771,0003,JPY,003,,,X
100,0000000330,2000,898849,NT60,CNY,003,0003,,X
100,0000000013,1000,592038,NT60,EUR,003,0001,,
100,0000001460,3000,587994,2/10NET30,USD,003,,,
100,0000001632,5000,763628,NT60,AUD,003,0001,,X
100,0000000269,3000,747114,0002,BRL,001,0002,,X
100,0000000769,3000,614356,0003,GBP,003,,,X
100,0000001911,4000,396624,0002,BRL,003,,,
100,0000000829,3000,844825,0002,JPY,003,,,
100,0000001152,2000,193512,0003,CHF,002,0002,,X
100,0000000044,5000,310323,0003,CAD,001,0002,,X
100,0000000761,2000,551092,NT90,CHF,002,0003,,
100,0000001606,1000,611544,NT90,AUD,003,0001,,X
100,0000001065,4000,568119,0001,BRL,001,,,X
100,0000000781,3000,547632,NT60,KRW,003,0003,,
100,0000001324,3000,421849,0002,KRW,002,0002,,X
100,0000000200,2000,016432,0003,KRW,003,,,
100,0000000658,2000,080036,0003,CHF,002,,,
100,0000000154,3000,741226,2/10NET30,EUR,001,0002,,
100,0000000942,1000,705808,0002,GBP,003,0003,,
100,0000000242,1000,798078,0001,CNY,003,0003,,
100,0000000365,1000,638989,0001,KRW,001,,,X
100,0000000506,1000,407749,2/10NET30,KRW,002,0001,,
100,0000000518,3000,949532,NT30,EUR,001,0002,,
100,0000000786,5000,892276,0003,CHF,003,0003,,X
100,0000000483,4000,988564,0003,CAD,002,,,X
100,0000000972,1000,748904,NT90,JPY,001,0003,,X
100,0000000593,1000,885298,0001,CHF,002,0003,,X
100,0000000760,3000,618559,NT90,KRW,002,0001,,
100,0000000815,1000,727421,NT60,BRL,001,0001,,
100,0000000244,2000,012789,2/10NET30,CNY,002,0002,,X
100,0000001002,1000,895378,0002,CAD,001,0001,,X
100,0000000901,1000,083091,0002,USD,002,0002,,
