MANDT,KUNNR,VKORG,VTWEG,SPART,BZIRK,VKBUR,KDGRP,WAERS,ZTERM,INCO1,INCO2,KVGR1,KVGR2,KVGR3,KVGR4,KVGR5
100,0000001736,2000,20,03,,1184,se,EUR,2/10NET30,DDP,,,,,,
100,0000000175,2000,10,04,,1249,we,KRW,2/10NET30,CFR,,,,,,
100,0000000269,2000,30,04,,8664,ni,CNY,NT30,CPT,,,,,,
100,0000001292,2000,20,02,,6277,pd,USD,0003,CPT,,,,,,
100,0000001044,1000,20,02,,2430,or,CNY,0003,DAT,,,,,,
100,0000001674,3000,10,03,,0966,qW,EUR,NT60,FOB,,,,,,
100,0000001524,1000,10,04,,0982,QF,KRW,0001,CFR,,,,,,
100,0000000069,1000,30,01,,0108,iO,USD,NT30,DAP,,,,,,
100,0000000173,3000,20,04,,7858,ob,BRL,NT60,DDP,,,,,,
100,0000000804,2000,20,00,,4632,zl,EUR,2/10NET30,CPT,,,,,,
100,0000001029,3000,20,01,,0266,sm,KRW,NT30,FCA,,,,,,
100,0000000250,2000,10,04,,9840,yK,USD,NT60,CIP,,,,,,
100,0000001550,3000,20,02,,1553,sd,CHF,2/10NET30,DDP,,,,,,
100,0000000462,3000,10,04,,2396,ST,BRL,NT60,CIF,,,,,,
100,0000001905,2000,10,02,,3074,oW,JPY,2/10NET30,CFR,,,,,,
100,0000001009,2000,10,02,,3863,cb,JPY,0003,EXW,,,,,,
100,0000000752,1000,10,01,,7904,wi,KRW,0002,DAT,,,,,,
100,0000001590,1000,20,01,,8430,aG,CHF,NT60,CPT,,,,,,
100,0000001371,3000,20,02,,8997,zF,JPY,NT90,DDP,,,,,,
100,0000001795,1000,10,04,,0323,XK,GBP,0001,FCA,,,,,,
100,0000000731,1000,20,03,,6170,Ay,AUD,2/10NET30,DAP,,,,,,
100,0000000459,2000,10,04,,7660,in,CAD,0002,FCA,,,,,,
100,0000001015,2000,30,01,,4955,si,CAD,NT60,FCA,,,,,,
