MANDT,LIFNR,LAND1,NAME1,NAME2,NAME3,NAME4,ORT01,ORT02,PFACH,PSTL2,PSTLZ,REGIO,SORTL,STRAS,ADRNR,MCOD1,MCOD2,MCOD3,ANRED,BAHNS,BBBNR,BBSNR,BEGRU,BRSCH,BUBKZ,DATLT,DTAMS,DTAWS,ERDAT,ERNAM,ESRNR,KONZS,KTOKK,KUNNR,LNRZA,LOEVM,SPERR,SPERM,SPRAS,STCD1,STCD2,STKZA,STKZU,TELBX,TELF1,TELF2,TELFX,TELTX,TELX1,XCPDK,XZEMP,VBUND,FISKN,STCEG,STKZN,SPERQ,GBORT,GBDAT,SEXKZ,KRAUS,REVDB,QSSYS,KTOCK,PFORT,WERKS,LTSNA,WERKR,PLKAL,DUEFL,TXJCD,SPERZ,SCACD,SFRGR,LZONE,XLFZA,DLGRP,STCD3,STCD4,STCD5,PROFS,EMNFR,LFURL,CONFS,UPDAT,UPTIM,NODEL,PODKZB
100,0000000001,FR,日本電気株式会社   ,and Sons,extend sticky method,,Pastor   ,N/A,N/A,05130,29158,NY,日本電気株式会社,863 林 Street,654235,日本電気株式会社,,,Frau,,,,0001,F,,,,,20210603,8,,,0001,,,,,,J,1615594078,,,X,,149744423,(518)349-5931x03,,,,,,,,,,,,,,,,,,,3001,,,01,,,,,,,,,,,,,,http://www.trekcycle-berlin.de,,20250113,060143,,
100,0000000002,NL,G&M Bicycle,e Filhos,optimize frictionles,N/A,Castro,Dupuy-sur-Mer,03056-413,897-5155,ME6X 2LF,WA,G&M BICYCL,965 中川 Street,710122,G&M BICYCLE   ,,,Herr,,,,0003,H,,,,,20210603,8,,,LIEF,,,,,,J,6916697848,,,,,4507867136   ,,,,,,,,,DE18451462704,,,,,,,,,,,1001,,,02,,,,,,,,,,,,,,http://www.gnmbikes.co.uk/,,20260101,003337,,
100,0000000003,MX,TechCycle Canberra,LLC,incubate clicks-and-,N/A,Arnstadt,,,48077,03911,TO,TECHCYCLE ,78248 Brandt Plains,346578,TECHCYCLE CANBERRA,,,Frau,,,,0002,M,,,,,20210603,8,,,0001,,,,,,J,,,,,,4440238917,,,,,,,,,DE13315098393,,,,,,,,,,,3000,,,02,,,,,,,,,,,,,,http://www.techcyclecanberra.com.au,,20240814,124920,,
100,0000000004,JP,High Tech Sports Inc   ,LLC,synthesize killer us,,Smithfort,Gauthier,N/A,86875,45533,PB,HIGH TECH ,Via de Ramos   ,065133,HIGH TECH SPORTS INC,,,,,,,0003,K,,,,,20210603,8,,,LIEF,,,,,,F,8726247317,,,,,6065470312   ,070-0801-3267,,,,,,,,DE36026064746,,,,,,,,,,,5000,,,02,,,,,,,,,,,,,,http://www.hitechsport.com,,20260524,011246,,
100,0000000005,PL,Tires On Fire,Inc,N/A,N/A,神津島村,,N/A,062-5138,07073,PE,TIRES ON F,812 林 Street,193990,TIRES ON FIRE,,,Firma,,,,0002,C,,,,,20210603,3,,,LIEF,,,,,,J,1699854353,,,X,,7980023486   ,,,,,,,,,DE62475107991,,,,,,,,,,,2001,,,,,,,,,,,,,,,,,http://www.tiresonfire.co.in,,20250722,223709,,
100,0000000006,CN,FitnessWorld,AG & Co. KGaA,e-enable seamless e-,N/A,Rios,,N/A,306-1697,CH1 4NZ,VT,FITNESSWOR,Pärtzeltstraße 1/2   ,640052,FITNESSWORLD,,,Firma,,,,0002,B,,,,,20210603,1,,,KRED,,,,,,E,4278680112,,,,,3206580974,,,,,,,,,,,,,,,,,,,,5001,,,,,,,,,,,,,,,,,http://www.fitnessworld.co.in,,20240720,203846,,
100,0000000007,CA,Homerun Millwork Inc.   ,e.V.,,,Jasonbury,Fogaça,,905-6658,767-2532,VI,HOMERUN MI,02 Gill Loop,342160,HOMERUN MILLWORK INC.,,,Herr,,,,,F,,,,,20210603,5,,,KRED,,,,,,J,3375433036,,,X,,4580963184,+49(0)1458 68501,,,,,,,,DE29401965569,,,,,,,,,,,1000,,,01,,,,,,,,,,,,,,http://www.homerundubai.com,,20240916,052131,,
100,0000000008,GB,Antonio Bandolera,,,,西多摩郡瑞穂町,Fonseca,,09780,14846,MG,ANTONIO BA,"Conjunto de Correia, 36",946804,ANTONIO BANDOLERA,,,,,,,,J,,,,,20210603,4,,,LIEF,,,,,,E,3699577738,,,X,,1012697341,,,,,,,,,DE21489513433,,,,,,,,,,,5000,,,02,,,,,,,,,,,,,,http://www.antoniobikes.com,,20240711,014504,,
100,0000000009,DE,Khan Cycles,and Sons,,,Monteiro das Flores,Lake Charlene,98931,56225,W08 1TF,RO,KHAN CYCLE,986 青木 Street,434873,KHAN CYCLES,,,Frau,,,,0002,K,,,,,20210603,6,,,LIEF,,,,,,F,7143455812,,,,,7345697824,+44(0)1174960623,,,,,,,,DE66587603669,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,http://www.khancycles.ae,,20240708,012149,,
100,0000000010,IN,Palm Beach Bike World,N/A,extend magnetic mode,,Amandafort,N/A,51469,27298,52146,CO,PALM BEACH,"Quadra Cirino, 5",537556,PALM BEACH BIKE WORLD,,,Firma,,,,0003,D,,,,,20210603,7,,,LIEF,,,,,,F,,,,X,,469614115,0417080531,,,,,,,,DE00330923271,,,,,,,,,,,2000,,,03,,,,,,,,,,,,,,http://www.palmbeachbikes.ae,,20260517,140607,,
