MANDT,LIFNR,BUKRS,PERNR,ALTKN,BEGRU,ZUAWA,AKONT,ALTKT,ALTKN2,ZTERM,WAERS,FDGRP,REPRF,TOGRP,LNRZE,LNRZB,ZINDT,ZINRT,DATLZ,ALTKZ,MINDK,INTAD,KVERM,BUSAB,UBBZG,EXPKK,ABSBE,ZFBDT,SKFOR,SKNTO,MANDT_OVERRIDE
100,0000001230,4000,,,,001,630968,,,0003,GBP,,X,,,,,,,,,,,vz,,,,,,,
100,0000001010,1000,,,0002,002,100426,,,0002,GBP,,X,,,,,,,,,,,sA,,,,,,,
100,0000000465,4000,,,0002,003,019976,,,NT90,AUD,,X,,,,,,,,,,,iH,,,,,,,
100,0000001963,4000,,,0002,002,295495,,,0001,USD,,,,,,,,,,,,,Tm,,,,,,,
100,0000000644,4000,,,0001,001,003734,,,0001,KRW,,X,,,,,,,,,,,QU,,,,,,,
100,0000001542,1000,,,0003,001,521556,,,NT30,GBP,,X,,,,,,,,,,,IY,,,,,,,
100,0000000321,1000,,,0002,002,322984,,,NT90,KRW,,X,,,,,,,,,,,Yt,,,,,,,
100,0000000720,1000,,,,003,614470,,,2/10NET30,KRW,,X,,,,,,,,,,,Ob,,,,,,,
100,0000000968,4000,,,,002,304865,,,NT90,GBP,,X,,,,,,,,,,,sE,,,,,,,
100,0000000754,4000,,,0003,002,904552,,,NT60,CNY,,,,,,,,,,,,,EF,,,,,,,
100,0000001302,1000,,,,002,079495,,,0003,CHF,,X,,,,,,,,,,,Pq,,,,,,,
100,0000001569,2000,,,,001,012567,,,NT60,CHF,,,,,,,,,,,,,dP,,,,,,,
100,0000001680,2000,,,,003,398778,,,NT60,EUR,,X,,,,,,,,,,,NY,,,,,,,
100,0000001660,2000,,,0003,001,309901,,,NT90,CAD,,,,,,,,,,,,,OC,,,,,,,
100,0000000392,2000,,,0002,001,305186,,,0002,EUR,,,,,,,,,,,,,lD,,,,,,,
100,0000001527,3000,,,0002,002,340698,,,0003,BRL,,X,,,,,,,,,,,uo,,,,,,,
100,0000000572,4000,,,0002,001,310154,,,NT60,EUR,,X,,,,,,,,,,,Df,,,,,,,
100,0000001498,4000,,,,001,310903,,,NT60,KRW,,X,,,,,,,,,,,FJ,,,,,,,
100,0000001993,1000,,,,002,273081,,,0002,KRW,,,,,,,,,,,,,By,,,,,,,
100,0000000108,3000,,,0002,003,368025,,,0003,USD,,X,,,,,,,,,,,mP,,,,,,,
100,0000001438,4000,,,0001,003,349920,,,NT30,CAD,,,,,,,,,,,,,KM,,,,,,,
100,0000001971,5000,,,0001,002,503093,,,NT90,GBP,,X,,,,,,,,,,,Pd,,,,,,,
100,0000000705,5000,,,,002,075829,,,NT30,JPY,,,,,,,,,,,,,zf,,,,,,,
100,0000000079,5000,,,,001,143714,,,2/10NET30,CHF,,,,,,,,,,,,,SH,,,,,,,
100,0000000544,1000,,,0002,003,634224,,,0002,CNY,,,,,,,,,,,,,qg,,,,,,,
100,0000001108,2000,,,0002,002,192951,,,2/10NET30,CHF,,,,,,,,,,,,,Nn,,,,,,,
100,0000000468,2000,,,0001,002,772763,,,NT60,USD,,,,,,,,,,,,,sG,,,,,,,
100,0000000981,5000,,,0002,002,784432,,,NT60,USD,,X,,,,,,,,,,,DM,,,,,,,
100,0000001871,4000,,,0003,001,944021,,,0002,EUR,,,,,,,,,,,,,es,,,,,,,
100,0000000058,4000,,,0003,001,491788,,,0001,BRL,,,,,,,,,,,,,ke,,,,,,,
100,0000001037,4000,,,0002,002,139211,,,NT60,USD,,X,,,,,,,,,,,dg,,,,,,,
100,0000001140,1000,,,0001,001,479616,,,0001,KRW,,X,,,,,,,,,,,Ln,,,,,,,
100,0000001273,3000,,,0002,003,149193,,,NT60,CNY,,X,,,,,,,,,,,wT,,,,,,,
100,0000001406,3000,,,0003,003,318961,,,0001,KRW,,,,,,,,,,,,,jb,,,,,,,
100,0000001275,5000,,,,003,890799,,,2/10NET30,JPY,,,,,,,,,,,,,Oc,,,,,,,
100,0000001852,1000,,,0001,003,097063,,,NT90,CAD,,X,,,,,,,,,,,mj,,,,,,,
100,0000001256,2000,,,0002,003,674900,,,0002,CNY,,X,,,,,,,,,,,To,,,,,,,
100,0000001400,5000,,,0002,001,427033,,,NT90,GBP,,,,,,,,,,,,,ZW,,,,,,,
100,0000000434,3000,,,,001,179865,,,NT90,AUD,,X,,,,,,,,,,,lP,,,,,,,
100,0000000683,3000,,,,003,586442,,,0001,EUR,,X,,,,,,,,,,,VM,,,,,,,
100,0000000095,4000,,,,002,187708,,,0003,AUD,,,,,,,,,,,,,wQ,,,,,,,
100,0000001931,4000,,,0001,002,760482,,,NT60,CNY,,X,,,,,,,,,,,Bw,,,,,,,
100,0000001749,3000,,,,001,847133,,,2/10NET30,CNY,,X,,,,,,,,,,,QP,,,,,,,
100,0000000004,4000,,,0002,001,632504,,,NT90,CAD,,,,,,,,,,,,,MM,,,,,,,
100,0000000876,5000,,,0003,002,306738,,,NT30,CHF,,X,,,,,,,,,,,MZ,,,,,,,
100,0000000821,1000,,,,003,453231,,,NT30,EUR,,,,,,,,,,,,,tw,,,,,,,
200,0000000017,5000,,,0001,003,397088,,,0001,BRL,,,,,,,,,,,,,YI,,,,,,,
100,0000000420,5000,,,0002,002,321699,,,0001,EUR,,X,,,,,,,,,,,DZ,,,,,,,
100,0000000724,1000,,,0002,003,298194,,,0001,CHF,,,,,,,,,,,,,hd,,,,,,,
100,0000001373,5000,,,0002,002,599504,,,0003,CNY,,,,,,,,,,,,,Tx,,,,,,,
100,0000000673,3000,,,0003,003,208762,,,0001,AUD,,X,,,,,,,,,,,bU,,,,,,,
100,0000001809,4000,,,0002,001,317922,,,NT30,USD,,X,,,,,,,,,,,fX,,,,,,,
100,0000001596,5000,,,,003,247077,,,NT60,EUR,,,,,,,,,,,,,ko,,,,,,,
100,0000001426,2000,,,0003,001,705547,,,NT90,CHF,,,,,,,,,,,,,Ss,,,,,,,
100,0000001558,2000,,,0003,001,359780,,,2/10NET30,CAD,,X,,,,,,,,,,,qp,,,,,,,
100,0000000672,5000,,,0001,003,447870,,,0001,BRL,,X,,,,,,,,,,,FN,,,,,,,
100,0000001259,5000,,,0001,003,896056,,,2/10NET30,CHF,,,,,,,,,,,,,sz,,,,,,,
100,0000000484,3000,,,,002,990833,,,2/10NET30,BRL,,,,,,,,,,,,,ZW,,,,,,,
100,0000001694,2000,,,0001,002,344806,,,0003,KRW,,X,,,,,,,,,,,OO,,,,,,,
100,0000001927,4000,,,0002,002,468838,,,2/10NET30,KRW,,X,,,,,,,,,,,zY,,,,,,,
100,0000001792,5000,,,,001,291649,,,0002,EUR,,X,,,,,,,,,,,EC,,,,,,,
100,0000001104,3000,,,0001,003,228364,,,0002,EUR,,X,,,,,,,,,,,vZ,,,,,,,
100,0000001441,3000,,,0002,001,032318,,,NT60,USD,,X,,,,,,,,,,,pj,,,,,,,
100,0000001501,3000,,,0003,001,265414,,,2/10NET30,AUD,,,,,,,,,,,,,wO,,,,,,,
100,0000001636,3000,,,0003,001,691742,,,NT60,GBP,,X,,,,,,,,,,,av,,,,,,,
100,0000001629,2000,,,0003,002,611379,,,0003,KRW,,,,,,,,,,,,,ho,,,,,,,
100,0000001846,5000,,,,003,993172,,,2/10NET30,JPY,,,,,,,,,,,,,jo,,,,,,,
100,0000000345,4000,,,0003,002,229147,,,0001,CNY,,X,,,,,,,,,,,Qx,,,,,,,
100,0000000278,4000,,,0001,003,863421,,,0002,CHF,,,,,,,,,,,,,DS,,,,,,,
100,0000001555,2000,,,0003,001,337347,,,2/10NET30,CHF,,,,,,,,,,,,,qu,,,,,,,
100,0000000835,1000,,,,001,387078,,,NT30,GBP,,X,,,,,,,,,,,vD,,,,,,,
100,0000000507,4000,,,0002,003,330115,,,NT60,CNY,,,,,,,,,,,,,vK,,,,,,,
100,0000000397,1000,,,0002,003,744283,,,0001,CHF,,,,,,,,,,,,,ka,,,,,,,
100,0000001879,2000,,,0001,003,247421,,,NT30,BRL,,X,,,,,,,,,,,wV,,,,,,,
100,0000001089,5000,,,0001,003,853107,,,NT30,CNY,,,,,,,,,,,,,aC,,,,,,,
100,0000000308,5000,,,0001,002,434139,,,2/10NET30,BRL,,X,,,,,,,,,,,rP,,,,,,,
100,0000000126,2000,,,,003,218387,,,0003,CHF,,X,,,,,,,,,,,Nw,,,,,,,
100,0000000664,2000,,,0002,001,234954,,,0001,JPY,,X,,,,,,,,,,,NZ,,,,,,,
100,0000001772,2000,,,0003,003,568189,,,NT30,JPY,,,,,,,,,,,,,hf,,,,,,,
100,0000000087,3000,,,0003,001,222884,,,NT90,JPY,,X,,,,,,,,,,,gj,,,,,,,
100,0000001644,4000,,,0003,003,435728,,,0003,AUD,,X,,,,,,,,,,,dW,,,,,,,
100,0000001680,1000,,,,001,260996,,,NT60,JPY,,X,,,,,,,,,,,ON,,,,,,,
100,0000001271,3000,,,0001,001,776763,,,NT60,CHF,,X,,,,,,,,,,,Xq,,,,,,,
100,0000001455,1000,,,0003,002,908655,,,2/10NET30,BRL,,,,,,,,,,,,,CB,,,,,,,
100,0000001102,5000,,,0002,001,852807,,,2/10NET30,JPY,,X,,,,,,,,,,,cc,,,,,,,
100,0000001619,1000,,,0003,003,461185,,,0003,GBP,,X,,,,,,,,,,,Lw,,,,,,,
100,0000000164,1000,,,,003,926474,,,NT30,AUD,,,,,,,,,,,,,vl,,,,,,,
100,0000000043,3000,,,,001,762371,,,NT30,USD,,X,,,,,,,,,,,cn,,,,,,,
100,0000000288,1000,,,0003,002,938406,,,0001,AUD,,X,,,,,,,,,,,YU,,,,,,,
100,0000000953,5000,,,0002,001,991409,,,NT90,KRW,,X,,,,,,,,,,,Wp,,,,,,,
100,0000001735,2000,,,0003,003,917026,,,NT30,USD,,,,,,,,,,,,,VZ,,,,,,,
100,0000000993,1000,,,0003,001,587478,,,NT30,CAD,,,,,,,,,,,,,Xk,,,,,,,
100,0000001264,3000,,,0002,001,513500,,,0002,AUD,,X,,,,,,,,,,,ID,,,,,,,
100,0000001497,3000,,,0002,001,354825,,,NT60,CNY,,X,,,,,,,,,,,RC,,,,,,,
100,0000001056,5000,,,,001,398733,,,NT30,USD,,X,,,,,,,,,,,oA,,,,,,,
100,0000001400,3000,,,,001,655748,,,0003,CHF,,,,,,,,,,,,,WF,,,,,,,
100,0000000169,1000,,,0003,001,267461,,,0002,BRL,,,,,,,,,,,,,KC,,,,,,,
100,0000001067,1000,,,,001,108154,,,0003,USD,,,,,,,,,,,,,RX,,,,,,,
100,0000000496,5000,,,0001,003,569241,,,NT90,EUR,,,,,,,,,,,,,IT,,,,,,,
100,0000000722,5000,,,,001,835951,,,0003,CNY,,X,,,,,,,,,,,sd,,,,,,,
100,0000000113,3000,,,,003,923036,,,2/10NET30,GBP,,,,,,,,,,,,,Sf,,,,,,,
100,0000001025,4000,,,0003,001,919767,,,0001,AUD,,X,,,,,,,,,,,YS,,,,,,,
100,0000001723,5000,,,0002,003,285000,,,0002,JPY,,X,,,,,,,,,,,iB,,,,,,,
100,0000000304,4000,,,0002,001,701245,,,2/10NET30,CNY,,X,,,,,,,,,,,Xw,,,,,,,
100,0000000658,5000,,,0001,001,255478,,,0003,CHF,,X,,,,,,,,,,,pI,,,,,,,
100,0000000513,5000,,,0002,002,203916,,,0003,AUD,,X,,,,,,,,,,,Yn,,,,,,,
100,0000000297,1000,,,0002,003,520290,,,0001,JPY,,X,,,,,,,,,,,WJ,,,,,,,
100,0000000244,2000,,,0002,001,724467,,,0001,CHF,,,,,,,,,,,,,Fe,,,,,,,
100,0000001625,1000,,,,003,598689,,,0002,USD,,X,,,,,,,,,,,Gc,,,,,,,
100,0000001248,4000,,,,002,473761,,,0003,KRW,,X,,,,,,,,,,,iD,,,,,,,
100,0000000973,3000,,,0001,001,052973,,,0003,CAD,,,,,,,,,,,,,jn,,,,,,,
100,0000000736,4000,,,,001,403683,,,0003,GBP,,X,,,,,,,,,,,Py,,,,,,,
100,0000001197,4000,,,0001,002,230159,,,0003,KRW,,X,,,,,,,,,,,Mi,,,,,,,
100,0000000514,5000,,,0003,002,217585,,,0001,CAD,,,,,,,,,,,,,dj,,,,,,,
100,0000001078,2000,,,0001,002,703267,,,NT60,GBP,,,,,,,,,,,,,Dv,,,,,,,
100,0000001637,1000,,,,003,879894,,,2/10NET30,EUR,,X,,,,,,,,,,,GT,,,,,,,
100,0000001730,3000,,,0001,003,679888,,,NT60,CNY,,X,,,,,,,,,,,qM,,,,,,,
100,0000000852,1000,,,0001,001,800754,,,0002,USD,,,,,,,,,,,,,bd,,,,,,,
100,0000000758,4000,,,0001,001,957211,,,NT30,CHF,,,,,,,,,,,,,mc,,,,,,,
100,0000000401,2000,,,0003,003,173242,,,NT90,BRL,,,,,,,,,,,,,ar,,,,,,,
100,0000001987,1000,,,0003,002,335647,,,NT30,CAD,,,,,,,,,,,,,UC,,,,,,,
100,0000001082,5000,,,0003,002,354631,,,NT60,EUR,,X,,,,,,,,,,,QZ,,,,,,,
100,0000001276,4000,,,0001,003,179883,,,NT30,CHF,,,,,,,,,,,,,jE,,,,,,,
100,0000000274,5000,,,0003,003,431538,,,0001,AUD,,X,,,,,,,,,,,OZ,,,,,,,
100,0000000325,1000,,,0002,002,504554,,,2/10NET30,JPY,,,,,,,,,,,,,Zq,,,,,,,
