MANDT,LIFNR,EKORG,WAERS,LIEFR,MINBW,KZABS,KZAUT,KZBESN,MEPRF,INCO1,INCO2,WEBRE,KZWBK,BOAUF,BOKRE,BOSPE,BOSTA,BOSPE2,UMSAE
100,0000000585,5000,EUR,,,,,,,DAP,,X,,,,,,,
100,0000000362,3000,AUD,,,,,,3,DAP,,X,,,,,,,
100,0000001626,1000,USD,,,,,,3,DAT,,X,,,,,,,
100,0000000622,2000,AUD,,,,,,3,CFR,,X,,,,,,,
100,0000001051,3000,CHF,,,,,,3,DAT,,X,,,,,,,
100,0000001810,5000,KRW,,,,,,2,FOB,,X,,,,,,,
100,0000001958,5000,KRW,,,,,,3,DAP,,X,,,,,,,
100,0000000754,5000,BRL,,,,,,3,CIF,,,,,,,,,
100,0000000332,2000,GBP,,,,,,3,DAP,,X,,,,,,,
100,0000001619,4000,CHF,,,,,,2,CIP,,,,,,,,,
100,0000000340,3000,KRW,,,,,,2,DAT,,X,,,,,,,
100,0000001501,4000,GBP,,,,,,,DAP,,,,,,,,,
100,0000001515,2000,CHF,,,,,,3,CPT,,X,,,,,,,
100,0000001303,1000,CHF,,,,,,,CIF,,,,,,,,,
100,0000000516,4000,KRW,,,,,,,FCA,,,,,,,,,
100,0000001024,2000,GBP,,,,,,,CFR,,X,,,,,,,
100,0000000627,2000,USD,,,,,,2,CPT,,,,,,,,,
100,0000000635,3000,GBP,,,,,,1,CPT,,,,,,,,,
100,0000001776,3000,USD,,,,,,3,FCA,,,,,,,,,
100,0000000292,2000,GBP,,,,,,2,DAT,,X,,,,,,,
100,0000000656,5000,CNY,,,,,,1,FCA,,,,,,,,,
100,0000001521,3000,KRW,,,,,,1,FOB,,X,,,,,,,
100,0000001918,1000,CNY,,,,,,,DAP,,X,,,,,,,
100,0000001071,4000,GBP,,,,,,3,CIP,,,,,,,,,
100,0000001226,3000,GBP,,,,,,1,EXW,,,,,,,,,
100,0000000737,5000,KRW,,,,,,1,FCA,,X,,,,,,,
100,0000000452,5000,EUR,,,,,,,DDP,,,,,,,,,
100,0000001120,5000,AUD,,,,,,,FOB,,,,,,,,,
100,0000000032,1000,AUD,,,,,,,DAT,,X,,,,,,,
100,0000000552,4000,USD,,,,,,3,CIP,,X,,,,,,,
100,0000001470,3000,AUD,,,,,,2,CIF,,,,,,,,,
100,0000000249,5000,CAD,,,,,,,FOB,,,,,,,,,
100,0000001253,3000,KRW,,,,,,2,DAP,,X,,,,,,,
100,0000000038,5000,EUR,,,,,,2,DAT,,X,,,,,,,
100,0000001974,4000,CHF,,,,,,3,CIP,,,,,,,,,
