MANDT,LIFNR,EKORG,WERKS,SPERM,LOEVM,PLIFZ,MNGLG,MNGKO,MNGZE,UEBTO,UNTTO,UGBTO
100,0000001525,2000,2001,,,6,,,,9.9,2.8,
100,0000000185,2000,3000,,,23,,,,15.9,6.2,
100,0000001534,2000,2000,,,11,,,,2.1,8.8,
100,0000001616,3000,2001,,,10,,,,19.1,2.0,
100,0000001475,2000,1001,,,28,,,,6.4,4.0,
100,0000001022,3000,1000,,,4,,,,3.0,1.0,
100,0000000166,3000,5001,,,18,,,,19.1,4.4,
100,0000000193,3000,1000,,,2,,,,17.6,7.1,
100,0000000543,2000,3000,,,12,,,,9.0,1.5,
100,0000001316,1000,3000,,,18,,,,18.5,8.3,
100,0000001874,1000,1002,,,12,,,,15.7,9.0,
100,0000001343,4000,5000,,,1,,,,6.2,0.9,
100,0000000105,1000,4000,,,12,,,,14.1,1.6,
100,0000001622,1000,3000,,,1,,,,15.5,3.7,
100,0000000874,1000,1000,,,26,,,,4.7,3.5,
100,0000001570,5000,1002,,,12,,,,11.0,8.3,
100,0000001222,1000,1000,,,14,,,,16.5,4.7,
100,0000000753,4000,3001,,,6,,,,15.5,4.5,
100,0000001339,2000,5001,,,20,,,,14.6,6.3,
100,0000001192,1000,2000,,,20,,,,6.0,5.2,
100,0000001036,1000,3000,,,30,,,,8.8,2.7,
100,0000001783,2000,5001,,,26,,,,17.6,1.3,
100,0000001259,4000,1001,,,4,,,,8.6,4.7,
100,0000001780,1000,5000,,,19,,,,13.9,6.7,
100,0000000342,4000,3001,,,15,,,,4.2,2.3,
100,0000001800,3000,5001,,,18,,,,7.5,5.9,
100,0000000806,4000,5001,,,22,,,,5.1,8.0,
100,0000000215,3000,2000,,,8,,,,7.4,9.7,
100,0000001869,2000,2000,,,1,,,,0.7,2.4,
100,0000001245,1000,3001,,,26,,,,6.6,10.0,
100,0000000941,1000,2000,,,16,,,,6.8,0.4,
100,0000001575,2000,5000,,,19,,,,4.4,5.5,
100,0000000655,1000,5000,,,9,,,,12.9,8.6,
100,0000000803,3000,5000,,,29,,,,12.6,2.5,
100,0000001288,4000,5000,,,4,,,,8.7,9.3,
100,0000000790,4000,1002,,,11,,,,12.3,2.2,
100,0000001044,2000,2001,,,29,,,,14.0,2.6,
100,0000000115,2000,1001,,,6,,,,18.2,7.0,
100,0000001653,2000,1001,,,30,,,,17.2,5.7,
100,0000000755,3000,2000,,,19,,,,9.9,9.3,
100,0000000640,4000,1000,,,12,,,,16.1,4.7,
100,0000000990,3000,2000,,,25,,,,12.9,2.7,
100,0000001004,5000,2001,,,30,,,,6.5,9.6,
100,0000000632,2000,2000,,,10,,,,19.5,9.9,
100,0000001577,2000,1001,,,9,,,,16.9,10.0,
100,0000001976,5000,3001,,,5,,,,11.5,6.9,
100,0000000160,5000,1001,,,7,,,,10.8,4.9,
100,0000001154,4000,1000,,,3,,,,16.6,5.1,
100,0000001752,2000,5001,,,22,,,,8.9,0.4,
100,0000000130,3000,1000,,,20,,,,19.4,0.4,
100,0000000122,4000,1000,,,13,,,,16.1,8.0,
100,0000001861,2000,1002,,,21,,,,9.7,8.8,
100,0000001114,5000,5001,,,18,,,,12.2,3.1,
100,0000001809,1000,2000,,,16,,,,19.3,4.4,
100,0000001269,2000,1000,,,4,,,,8.8,0.1,
100,0000000720,2000,5000,,,29,,,,11.8,1.0,
100,0000000742,1000,3001,,,12,,,,4.4,3.6,
100,0000000069,5000,2001,,,11,,,,2.4,7.8,
100,0000000184,2000,1001,,,25,,,,3.8,7.9,
100,0000001948,3000,5001,,,2,,,,3.4,3.3,
100,0000001116,5000,1001,,,23,,,,11.0,6.4,
100,0000000162,1000,4000,,,23,,,,15.7,5.2,
100,0000000451,1000,5000,,,12,,,,15.1,3.7,
100,0000001026,3000,5000,,,5,,,,12.2,4.2,
100,0000001836,3000,2001,,,21,,,,12.4,3.7,
100,0000001316,1000,4000,,,11,,,,13.6,2.6,
100,0000001982,3000,5001,,,25,,,,1.2,7.3,
100,0000001239,1000,1001,,,25,,,,12.1,6.2,
100,0000001770,1000,3001,,,6,,,,11.5,0.1,
100,0000001674,5000,5001,,,17,,,,18.7,7.5,
200,0000000174,2000,5000,,,22,,,,6.4,0.1,
100,0000000245,4000,2000,,,15,,,,19.0,5.9,
100,0000000344,2000,3001,,,21,,,,4.3,5.1,
100,0000001298,2000,2001,,,22,,,,13.4,9.6,
100,0000000795,3000,3001,,,16,,,,16.7,6.7,
100,0000001489,3000,5001,,,6,,,,3.6,8.9,
100,0000001263,1000,3000,,,4,,,,0.5,6.9,
100,0000001600,5000,2000,,,24,,,,16.5,6.4,
100,0000000288,1000,2000,,,15,,,,4.8,2.5,
100,0000000388,1000,4000,,,29,,,,18.8,3.7,
100,0000001225,5000,5001,,,5,,,,13.3,5.3,
100,0000000249,3000,2001,,,12,,,,13.1,2.8,
100,0000000505,4000,3000,,,10,,,,12.5,4.7,
100,0000001158,4000,3000,,,16,,,,17.9,1.2,
100,0000001112,2000,1000,,,22,,,,16.3,7.7,
100,0000000686,3000,2000,,,14,,,,18.0,0.1,
100,0000001289,1000,1001,,,20,,,,18.1,7.3,
100,0000001371,1000,2000,,,17,,,,8.3,0.1,
100,0000001823,1000,1002,,,10,,,,19.9,6.3,
100,0000000500,4000,1002,,,26,,,,18.2,5.8,
100,0000000131,1000,1001,,,16,,,,17.8,0.7,
100,0000000221,2000,2000,,,29,,,,7.9,1.2,
100,0000000011,4000,3001,,,25,,,,2.0,4.2,
100,0000001904,5000,1002,,,28,,,,2.3,6.9,
100,0000001222,1000,2001,,,20,,,,17.9,5.1,
100,0000001574,3000,2001,,,12,,,,5.6,0.9,
100,0000001687,2000,2000,,,25,,,,18.5,2.6,
100,0000000584,5000,5001,,,24,,,,15.3,3.3,
100,0000000933,5000,5001,,,14,,,,17.0,9.5,
100,0000001960,4000,3001,,,8,,,,3.0,8.1,
100,0000000443,5000,1000,,,3,,,,12.1,4.3,
100,0000000205,1000,3000,,,28,,,,7.4,8.3,
100,0000001986,3000,1001,,,13,,,,14.1,1.3,
100,0000001151,3000,2000,,,20,,,,10.8,4.4,
100,0000000770,5000,4000,,,22,,,,14.1,7.0,
100,0000000949,3000,2000,,,7,,,,2.8,9.0,
100,0000000942,1000,2001,,,9,,,,14.2,8.2,
100,0000000081,5000,2000,,,20,,,,2.8,8.9,
100,0000001628,2000,5000,,,16,,,,1.8,3.6,
100,0000001776,1000,1001,,,29,,,,7.7,0.3,
100,0000001172,4000,1000,,,20,,,,6.6,1.0,
100,0000001244,3000,4000,,,9,,,,16.2,8.1,
100,0000001062,1000,1000,,,24,,,,6.6,3.1,
100,0000000261,3000,1000,,,13,,,,0.2,7.9,
100,0000000068,1000,1000,,,30,,,,1.0,0.2,
100,0000000676,2000,1001,,,26,,,,18.4,7.4,
100,0000001922,2000,2001,,,3,,,,0.8,8.9,
100,0000001918,5000,1002,,,29,,,,11.5,6.1,
100,0000001168,2000,3000,,,22,,,,9.7,3.5,
100,0000000975,4000,1000,,,24,,,,3.6,2.7,
100,0000001692,2000,2000,,,2,,,,4.3,2.9,
100,0000000796,3000,1002,,,6,,,,7.6,9.7,
100,0000001156,2000,1001,,,6,,,,17.7,5.6,
100,0000001802,2000,4000,,,26,,,,9.3,8.4,
100,0000000657,1000,4000,,,5,,,,18.2,6.9,
100,0000001801,4000,1000,,,11,,,,1.9,3.7,
100,0000001332,1000,1001,,,5,,,,12.0,8.5,
100,0000001877,3000,5001,,,16,,,,19.2,5.6,
100,0000001933,2000,3000,,,7,,,,12.4,1.1,
100,0000000163,4000,5000,,,19,,,,14.1,8.0,
100,0000000868,4000,5000,,,24,,,,2.7,6.8,
100,0000000654,1000,2000,,,7,,,,9.4,3.0,
100,0000000947,1000,2000,,,4,,,,8.1,8.7,
100,0000001705,2000,5000,,,13,,,,15.1,9.4,
100,0000001721,2000,2001,,,8,,,,5.5,9.4,
100,0000000257,5000,5000,,,3,,,,7.2,6.8,
100,0000000277,2000,3001,,,8,,,,15.2,3.0,
100,0000001722,5000,4000,,,18,,,,5.2,5.2,
100,0000001629,1000,5001,,,27,,,,6.4,2.8,
100,0000000755,3000,3000,,,28,,,,4.1,0.3,
100,0000000643,5000,1002,,,25,,,,9.3,4.4,
100,0000001139,1000,5001,,,3,,,,10.5,9.0,
100,0000000763,5000,1002,,,21,,,,17.3,1.2,
100,0000001668,3000,1001,,,28,,,,1.8,7.2,
100,0000001058,2000,3000,,,16,,,,4.5,7.0,
100,0000000666,4000,1001,,,13,,,,2.8,2.7,
100,0000001100,5000,1001,,,11,,,,13.7,3.4,
100,0000000259,2000,5001,,,6,,,,7.3,9.5,
100,0000000749,2000,4000,,,14,,,,9.3,1.0,
100,0000001159,2000,5001,,,23,,,,13.9,0.9,
100,0000000072,3000,5000,,,22,,,,12.4,5.6,
100,0000000461,5000,2001,,,19,,,,11.5,8.3,
100,0000001391,3000,4000,,,21,,,,6.7,7.1,
100,0000000873,3000,1002,,,24,,,,14.2,6.2,
100,0000001934,2000,1000,,,3,,,,3.5,2.2,
100,0000000509,4000,3001,,,13,,,,0.8,3.0,
100,0000001763,3000,5001,,,2,,,,15.8,5.0,
100,0000001547,3000,5000,,,22,,,,18.9,3.5,
100,0000000856,4000,2000,,,8,,,,1.0,6.4,
100,0000000079,1000,5001,,,23,,,,12.9,1.9,
100,0000000207,5000,1000,,,11,,,,16.0,9.1,
100,0000001109,2000,3000,,,13,,,,13.0,5.3,
100,0000000762,1000,5000,,,29,,,,4.6,6.4,
100,0000000415,3000,4000,,,20,,,,6.6,7.5,
100,0000001957,2000,2001,,,2,,,,13.0,6.7,
100,0000000830,3000,2000,,,7,,,,18.3,4.2,
100,0000001635,4000,2001,,,28,,,,9.4,8.3,
100,0000000526,5000,1000,,,10,,,,12.4,7.4,
100,0000001124,4000,4000,,,6,,,,16.2,6.1,
100,0000000310,3000,2001,,,18,,,,16.1,5.2,
100,0000001662,4000,2001,,,9,,,,15.3,0.6,
100,0000001086,1000,5001,,,10,,,,5.8,4.6,
100,0000000306,2000,2000,,,2,,,,12.9,0.3,
100,0000000679,4000,3001,,,2,,,,4.9,9.4,
100,0000001935,5000,5000,,,9,,,,2.1,9.6,
100,0000000786,3000,4000,,,14,,,,9.8,1.3,
100,0000001839,4000,4000,,,8,,,,3.5,3.6,
100,0000000242,3000,4000,,,2,,,,10.2,9.4,
100,0000000997,1000,3001,,,8,,,,3.7,2.5,
100,0000001346,3000,2001,,,23,,,,3.8,1.4,
100,0000001156,2000,4000,,,1,,,,5.5,3.8,
100,0000001171,2000,2000,,,30,,,,8.9,8.0,
100,0000001252,1000,2000,,,29,,,,5.3,8.2,
