MANDT,MATNR,ERSDA,ERNAM,LAEDA,AENAM,MTART,MBRSH,MATKL,MEINS,BSTME,ZEINR,ZEIVR,ZEIFO,AESZN,BLANZ,FERTH,FORMT,NORMT,LABOR,EKWSL,BRGEW,GEWEI,NTGEW,VOLUM,VOLEH,BEHVO,RAUBE,TEMPB,DISST,TRAGR,STOFF,SPART,VHART,FUELG,IPRKZ,RDPRF,MHDRZ,MHDLP,MHDLF,BWVOR,BWSCL,SAISO,ETIAR,ETIFO,ENTAR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,PRDHA,CADKZ,ERGEW,ERVOLM,WERKS,LMEINS,BRGEW2,GEWEI2
100,CM-FL-V00,20210603,6,20210603,6,FERT,R,826414,EA,EA,,,,,,,,,,,22.0,KG,19.8,31.045,M3,,,,,,,01,,,,,,,,,,,,,,8986224079898,,0.000,0.000,0.000,nan,,,,,2000,,,
100,FG226,20210603,6,20210603,6,FERT,M,748037,EA,EA,,,,,,,,,,,15.0,KG,13.5,85.597,L,,,,,,,01,,,,,,,,,,,,,,2589083429956,,0.000,0.000,0.000,nan,,,,,1002,,,
100,M-01,20210603,14,20210603,14,FERT,E,628721,EA,EA,,,,,,,,,,,16.0,KG,14.4,76.807,L,,,,,,,04,,,,,,,,,,,,,,8048694371558,,0.000,0.000,0.000,nan,,,,,1002,,,
100,M1,20210603,1,20210603,1,FERT,F,601320,EA,EA,,,,,,,,,,,11.0,KG,9.9,93.226,CM3,,,,,,,04,,,,,,,,,,,,,,3316348601937,,0.000,0.000,0.000,nan,,,,,4000,,,
100,MZ-FG-C10,20210603,9,20210603,9,FERT,C,683552,EA,EA,,,,,,,,,,,8.0,KG,7.2,95.81,L,,,,,,,00,,,,,,,,,,,,,,2629474563361,,0.000,0.000,0.000,nan,,,,,5001,,,
100,MZ-FG-C20,20210603,12,20210603,12,FERT,F,595808,EA,EA,,,,,,,,,,,9.1,KG,8.19,37.493,M3,,,,,,,00,,,,,,,,,,,,,,4339926367567,,0.000,0.000,0.000,nan,,,,,1002,,,
100,MZ-FG-C21,20210603,9,20210603,9,FERT,A,189222,EA,EA,,,,,,,,,,,11.1,KG,9.99,99.001,M3,,,,,,,03,,,,,,,,,,,,,,4245423651873,,0.000,0.000,0.000,nan,,,,,5001,,,
100,MZ-FG-C900,20210603,11,20210603,11,ROH,F,828443,EA,EA,,,,,,,,,,,11.8,KG,10.62,16.853,CM3,,,,,,,00,,,,,,,,,,,,,,3515571133745,,0.000,0.000,0.000,nan,,,,,1001,,,
100,MZ-FG-C950,20210603,8,20210603,8,ROH,A,646272,EA,EA,,,,,,,,,,,12.5,KG,11.25,54.367,CM3,,,,,,,02,,,,,,,,,,,,,,8955936998216,,0.000,0.000,0.000,nan,,,,,2001,,,
100,MZ-FG-C990,20210603,11,20210603,11,ROH,A,712088,EA,EA,,,,,,,,,,,12.8,KG,11.52,26.274,L,,,,,,,01,,,,,,,,,,,,,,7598471782882,,0.000,0.000,0.000,nan,,,,,1001,,,
100,MZ-FG-E101,20210603,10,20210603,10,ROH,F,363638,EA,EA,,,,,,,,,,,8.1,KG,7.29,73.445,CM3,,,,,,,03,,,,,,,,,,,,,,3478519672280,,0.000,0.000,0.000,nan,,,,,4000,,,
100,MZ-FG-E102,20210603,13,20210603,13,ROH,F,558427,EA,EA,,,,,,,,,,,8.0,KG,7.2,6.277,M3,,,,,,,04,,,,,,,,,,,,,,0267201618612,,0.000,0.000,0.000,nan,,,,,3000,,,
100,MZ-FG-E103,20210603,12,20210603,12,ROH,A,723060,EA,EA,,,,,,,,,,,8.6,KG,7.74,65.647,M3,,,,,,,01,,,,,,,,,,,,,,8259933825224,,0.000,0.000,0.000,nan,,,,,1002,,,
100,MZ-FG-E108,20210603,12,20210603,12,FERT,R,502245,EA,EA,,,,,,,,,,,12.7,KG,11.43,23.016,CM3,,,,,,,04,,,,,,,,,,,,,,4531912150546,,0.000,0.000,0.000,nan,,,,,1001,,,
100,MZ-FG-E15,20210603,7,20210603,7,FERT,F,522451,EA,EA,,,,,,,,,,,13.1,KG,11.79,57.993,M3,,,,,,,03,,,,,,,,,,,,,,6051454712418,,0.000,0.000,0.000,nan,,,,,1002,,,
100,MZ-FG-E16,20210603,11,20210603,11,FERT,F,289773,EA,EA,,,,,,,,,,,12.5,KG,11.25,9.378,L,,,,,,,04,,,,,,,,,,,,,,3359847975475,,0.000,0.000,0.000,nan,,,,,2000,,,
100,MZ-FG-E17,20210603,1,20210603,1,FERT,A,660366,EA,EA,,,,,,,,,,,7.1,KG,6.39,16.919,M3,,,,,,,00,,,,,,,,,,,,,,4081120036816,,0.000,0.000,0.000,nan,,,,,3001,,,
100,MZ-FG-M500,20210603,2,20210603,2,ROH,E,839737,EA,EA,,,,,,,,,,,7.2,KG,6.48,3.948,CM3,,,,,,,04,,,,,,,,,,,,,,1582453002804,,0.000,0.000,0.000,nan,,,,,2000,,,
100,MZ-FG-M525,20210603,13,20210603,13,ROH,C,501479,EA,EA,,,,,,,,,,,7.8,KG,7.02,33.755,L,,,,,,,04,,,,,,,,,,,,,,5395100535718,,0.000,0.000,0.000,nan,,,,,2001,,,
100,MZ-FG-M550,20210603,12,20210603,12,ROH,C,182739,EA,EA,,,,,,,,,,,7.3,KG,6.57,13.376,CM3,,,,,,,01,,,,,,,,,,,,,,3789275807619,,0.000,0.000,0.000,nan,,,,,1002,,,
100,MZ-FG-P010,20210603,9,20210603,9,HALB,A,310750,EA,EA,,,,,,,,,,,7.7,KG,6.93,25.177,CM3,,,,,,,02,,,,,,,,,,,,,,8678613710573,,0.000,0.000,0.000,nan,,,,,1000,,,
100,MZ-FG-R100,20210603,4,20210603,4,HALB,A,773401,EA,EA,,,,,,,,,,,14.3,KG,12.87,49.549,L,,,,,,,02,,,,,,,,,,,,,,1766733596393,,0.000,0.000,0.000,nan,,,,,5000,,,
100,MZ-FG-R200,20210603,6,20210603,6,HALB,R,548120,EA,EA,,,,,,,,,,,15.4,KG,13.86,34.641,CM3,,,,,,,00,,,,,,,,,,,,,,9943273171156,,0.000,0.000,0.000,nan,,,,,3001,,,
100,MZ-FG-R300,20210603,14,20210603,14,HALB,R,071199,EA,EA,,,,,,,,,,,18.1,KG,16.29,50.075,CM3,,,,,,,03,,,,,,,,,,,,,,9601192148894,,0.000,0.000,0.000,nan,,,,,3000,,,
100,MZ-TG-A20,20210603,6,20210603,6,FERT,M,702679,EA,EA,,,,,,,,,,,12.0,KG,10.8,90.102,M3,,,,,,,03,,,,,,,,,,,,,,3621341391076,,0.000,0.000,0.000,nan,,,,,3001,,,
100,MZ-TG-A25,20210603,5,20210603,5,DIEN,E,560147,EA,EA,,,,,,,,,,,7.5,KG,6.75,1.664,L,,,,,,,03,,,,,,,,,,,,,,8752574203265,,0.000,0.000,0.000,nan,,,,,1000,,,
100,MZ-TG-A26,20210603,3,20210603,3,DIEN,M,729060,EA,EA,,,,,,,,,,,6.9,KG,6.21,91.407,CM3,,,,,,,00,,,,,,,,,,,,,,4157942481018,,0.000,0.000,0.000,nan,,,,,5001,,,
