MANDT,MATNR,WERKS,PSTAT,LVORM,BWTTY,XCHAR,MMSTA,MMSTD,MAABC,KZKRI,EKGRP,DISMM,DISPO,DISLS,BERID,BSTMI,MINBE,EISBE,MABST,STRGR,LGPRO,LGFSB,HERKL,INSMK,SSQSS,MTVFP,KZAUS,AUSDT,NFMAT,MFLHN,KZBED,LGPBE,LGOBE,INSMK2
100,MAT0000408,1001,,,,,,,A,,474,,IdE,,,,,,,,,,,,,,,,,,,,,
100,MAT0000992,4000,,,,,,,A,,177,PD,Oab,,,,,,,,,,,,,,,,,,,,,
100,MAT0001805,4000,,,,,,,,,473,,knT,,,,,,,,,,,,,,,,,,,,,
100,MAT0001534,1001,,,,,,,B,,705,MRP,jkP,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000235,3000,,,,,,,C,,252,MRP,vbc,,,,,,,,,,,,,,,,,,,,,
100,MAT0000823,5001,,,,,,,B,,961,,Kaz,,,,,,,,,,,,,,,,,,,,,
100,MAT0000546,2000,,,,,,,A,,089,PD,Cpl,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000192,1001,,,,,,,A,,496,PD,CdA,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001277,3001,,,,,,,C,,443,,lyy,,,,,,,,,,,,,,,,,,,,,
100,MAT0000748,3000,,,,,,,C,,230,MRP,egZ,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000824,2001,,,,,,,C,,741,,chp,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001949,5000,,,,,,,B,,847,VB,urh,,,,,,,,,,,,,,,,,,,,,
100,MAT0000527,5001,,,,,,,,,074,VB,lsV,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000596,5000,,,,,,,,,376,VB,FGY,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000216,5001,,,,,,,,,687,PD,Mpi,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001021,5001,,,,,,,C,,998,,NXA,,,,,,,,,,,,,,,,,,,,,
100,MAT0000485,5000,,,,,,,C,,355,PD,lJi,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001772,1000,,,,,,,C,,692,MRP,hMj,,,,,,,,,,,,,,,,,,,,,
100,MAT0000678,1000,,,,,,,A,,776,,xgq,,,,,,,,,,,,,,,,,,,,,
100,MAT0001266,5000,,,,,,,B,,213,PD,EZT,,,,,,,,,,,,,,,,,,,,,
100,MAT0000483,5000,,,,,,,C,,628,,NZg,,,,,,,,,,,,,,,,,,,,,
100,MAT0001416,2000,,,,,,,A,,507,VB,xrD,,,,,,,,,,,X,,,,,,,,,,
