BP_NUMBER,COMPANY_CODE,RECONCILIATION_ACCOUNT,PAYMENT_TERMS,CURRENCY
0000001230,4000,630968,0003,GBP
0000001010,1000,100426,0002,GBP
0000000465,4000,019976,NT90,AUD
0000001963,4000,295495,0001,USD
0000000644,4000,003734,0001,KRW
0000001542,1000,521556,NT30,GBP
0000000321,1000,322984,NT90,KRW
0000000720,1000,614470,2/10,KRW
0000000968,4000,304865,NT90,GBP
0000000754,4000,904552,NT60,CNY
0000001302,1000,079495,0003,CHF
0000001569,2000,012567,NT60,CHF
0000001680,2000,398778,NT60,EUR
0000001660,2000,309901,NT90,CAD
0000001527,3000,340698,0003,BRL
0000000572,4000,310154,NT60,EUR
0000001498,4000,310903,NT60,KRW
0000001993,1000,273081,0002,KRW
0000000108,3000,368025,0003,USD
0000001438,4000,349920,NT30,CAD
0000001971,5000,503093,NT90,GBP
0000000705,5000,075829,NT30,JPY
0000000079,5000,143714,2/10,CHF
0000001108,2000,192951,2/10,CHF
0000000468,2000,772763,NT60,USD
0000000981,5000,784432,NT60,USD
0000001871,4000,944021,0002,EUR
0000000058,4000,491788,0001,BRL
0000001037,4000,139211,NT60,USD
0000001140,1000,479616,0001,KRW
0000001273,3000,149193,NT60,CNY
0000001406,3000,318961,0001,KRW
0000001275,5000,890799,2/10,JPY
0000001852,1000,097063,NT90,CAD
0000001256,2000,674900,0002,CNY
0000001400,5000,427033,NT90,GBP
0000000434,3000,179865,NT90,AUD
0000000683,3000,586442,0001,EUR
0000000095,4000,187708,0003,AUD
0000001931,4000,760482,NT60,CNY
0000001749,3000,847133,2/10,CNY
0000000004,4000,632504,NT90,CAD
0000000876,5000,306738,NT30,CHF
0000000821,1000,453231,NT30,EUR
0000000420,5000,321699,0001,EUR
0000000724,1000,298194,0001,CHF
0000001373,5000,599504,0003,CNY
0000000673,3000,208762,0001,AUD
0000001809,4000,317922,NT30,USD
0000001596,5000,247077,NT60,EUR
0000001426,2000,705547,NT90,CHF
0000001558,2000,359780,2/10,CAD
0000000672,5000,447870,0001,BRL
0000001259,5000,896056,2/10,CHF
0000000484,3000,990833,2/10,BRL
0000001694,2000,344806,0003,KRW
0000001927,4000,468838,2/10,KRW
0000001792,5000,291649,0002,EUR
0000001104,3000,228364,0002,EUR
0000001441,3000,032318,NT60,USD
0000001501,3000,265414,2/10,AUD
0000001636,3000,691742,NT60,GBP
0000001629,2000,611379,0003,KRW
0000001846,5000,993172,2/10,JPY
0000000345,4000,229147,0001,CNY
0000000278,4000,863421,0002,CHF
0000001555,2000,337347,2/10,CHF
0000000835,1000,387078,NT30,GBP
0000000507,4000,330115,NT60,CNY
0000000397,1000,744283,0001,CHF
0000001879,2000,247421,NT30,BRL
0000001089,5000,853107,NT30,CNY
0000000308,5000,434139,2/10,BRL
0000000126,2000,218387,0003,CHF
0000000664,2000,234954,0001,JPY
0000001772,2000,568189,NT30,JPY
0000000087,3000,222884,NT90,JPY
0000001644,4000,435728,0003,AUD
0000001680,1000,260996,NT60,JPY
0000001455,1000,908655,2/10,BRL
0000001102,5000,852807,2/10,JPY
0000001619,1000,461185,0003,GBP
0000000164,1000,926474,NT30,AUD
0000000043,3000,762371,NT30,USD
0000000288,1000,938406,0001,AUD
0000000953,5000,991409,NT90,KRW
0000001735,2000,917026,NT30,USD
0000000993,1000,587478,NT30,CAD
0000001264,3000,513500,0002,AUD
0000001497,3000,354825,NT60,CNY
0000001056,5000,398733,NT30,USD
0000001400,3000,655748,0003,CHF
0000000169,1000,267461,0002,BRL
0000001067,1000,108154,0003,USD
0000000496,5000,569241,NT90,EUR
0000000722,5000,835951,0003,CNY
0000000113,3000,923036,2/10,GBP
0000001025,4000,919767,0001,AUD
0000000304,4000,701245,2/10,CNY
0000000658,5000,255478,0003,CHF
0000000513,5000,203916,0003,AUD
0000000244,2000,724467,0001,CHF
0000001625,1000,598689,0002,USD
0000001248,4000,473761,0003,KRW
0000000973,3000,052973,0003,CAD
0000000736,4000,403683,0003,GBP
0000001197,4000,230159,0003,KRW
0000001078,2000,703267,NT60,GBP
0000001637,1000,879894,2/10,EUR
0000001730,3000,679888,NT60,CNY
0000000852,1000,800754,0002,USD
0000000758,4000,957211,NT30,CHF
0000000401,2000,173242,NT90,BRL
0000001987,1000,335647,NT30,CAD
0000001082,5000,354631,NT60,EUR
0000001276,4000,179883,NT30,CHF
0000000274,5000,431538,0001,AUD
0000000325,1000,504554,2/10,JPY
0000000025,3000,763509,0003,GBP
0000000269,1000,510388,2/10,BRL
0000001542,5000,474659,0002,KRW
0000000394,4000,282887,0001,CNY
0000000024,2000,954123,NT90,CHF
0000001515,3000,247072,NT90,AUD
0000000413,3000,041427,2/10,CAD
0000001912,4000,771139,0003,CNY
0000001940,1000,979787,NT90,CAD
0000000071,2000,126891,NT60,AUD
0000000763,4000,920589,NT60,CNY
0000001248,1000,360388,NT90,CNY
0000001247,5000,767942,0001,AUD
0000001179,5000,457404,0002,AUD
0000000895,1000,752529,NT90,AUD
0000000637,4000,443774,0003,AUD
0000001828,5000,947348,NT60,GBP
0000000298,1000,880944,NT60,USD
0000000721,3000,410492,0003,AUD
0000000800,4000,268911,0001,BRL
0000000221,4000,856775,NT90,CHF
0000001627,2000,989618,NT60,USD
0000000654,5000,525881,0003,AUD
0000001579,4000,272576,0001,USD
