BP_NUMBER,ROLE_CODE,VALID_FROM,VALID_TO
0000000001,FLVN01,2000-01-01,9999-12-31
0000000002,FLVN01,2000-01-01,9999-12-31
0000000003,FLVN01,2000-01-01,9999-12-31
0000000004,FLVN01,2000-01-01,9999-12-31
0000000005,FLVN01,2000-01-01,9999-12-31
0000000006,FLVN01,2000-01-01,9999-12-31
0000000007,FLVN01,2000-01-01,9999-12-31
0000000008,FLVN01,2000-01-01,9999-12-31
0000000009,FLVN01,2000-01-01,9999-12-31
0000000010,FLVN01,2000-01-01,9999-12-31
0000000011,FLVN01,2000-01-01,9999-12-31
0000000012,FLVN01,2000-01-01,9999-12-31
0000000013,FLVN01,2000-01-01,9999-12-31
0000000014,FLVN01,2000-01-01,9999-12-31
0000000016,FLVN01,2000-01-01,9999-12-31
0000000017,FLVN01,2000-01-01,9999-12-31
0000000018,FLVN01,2000-01-01,9999-12-31
0000000019,FLVN01,2000-01-01,9999-12-31
0000000020,FLVN01,2000-01-01,9999-12-31
0000000021,FLVN01,2000-01-01,9999-12-31
0000000022,FLVN01,2000-01-01,9999-12-31
0000000023,FLVN01,2000-01-01,9999-12-31
0000000024,FLVN01,2000-01-01,9999-12-31
0000000025,FLVN01,2000-01-01,9999-12-31
0000000027,FLVN01,2000-01-01,9999-12-31
0000000028,FLVN01,2000-01-01,9999-12-31
0000000029,FLVN01,2000-01-01,9999-12-31
0000000030,FLVN01,2000-01-01,9999-12-31
0000000031,FLVN01,2000-01-01,9999-12-31
0000000032,FLVN01,2000-01-01,9999-12-31
0000000033,FLVN01,2000-01-01,9999-12-31
0000000034,FLVN01,2000-01-01,9999-12-31
0000000035,FLVN01,2000-01-01,9999-12-31
0000000036,FLVN01,2000-01-01,9999-12-31
0000000037,FLVN01,2000-01-01,9999-12-31
0000000038,FLVN01,2000-01-01,9999-12-31
0000000039,FLVN01,2000-01-01,9999-12-31
0000000040,FLVN01,2000-01-01,9999-12-31
0000000041,FLVN01,2000-01-01,9999-12-31
0000000042,FLVN01,2000-01-01,9999-12-31
0000000043,FLVN01,2000-01-01,9999-12-31
0000000044,FLVN01,2000-01-01,9999-12-31
0000000045,FLVN01,2000-01-01,9999-12-31
0000000046,FLVN01,2000-01-01,9999-12-31
0000000047,FLVN01,2000-01-01,9999-12-31
0000000048,FLVN01,2000-01-01,9999-12-31
0000000049,FLVN01,2000-01-01,9999-12-31
0000000050,FLVN01,2000-01-01,9999-12-31
0000000051,FLVN01,2000-01-01,9999-12-31
0000000052,FLVN01,2000-01-01,9999-12-31
0000000053,FLVN01,2000-01-01,9999-12-31
0000000054,FLVN01,2000-01-01,9999-12-31
0000000055,FLVN01,2000-01-01,9999-12-31
0000000056,FLVN01,2000-01-01,9999-12-31
0000000057,FLVN01,2000-01-01,9999-12-31
0000000058,FLVN01,2000-01-01,9999-12-31
0000000059,FLVN01,2000-01-01,9999-12-31
0000000060,FLVN01,2000-01-01,9999-12-31
0000000061,FLVN01,2000-01-01,9999-12-31
0000000062,FLVN01,2000-01-01,9999-12-31
0000000063,FLVN01,2000-01-01,9999-12-31
0000000064,FLVN01,2000-01-01,9999-12-31
0000000065,FLVN01,2000-01-01,9999-12-31
0000000066,FLVN01,2000-01-01,9999-12-31
0000000067,FLVN01,2000-01-01,9999-12-31
0000000069,FLVN01,2000-01-01,9999-12-31
0000000070,FLVN01,2000-01-01,9999-12-31
0000000071,FLVN01,2000-01-01,9999-12-31
0000000072,FLVN01,2000-01-01,9999-12-31
0000000073,FLVN01,2000-01-01,9999-12-31
0000000074,FLVN01,2000-01-01,9999-12-31
0000000075,FLVN01,2000-01-01,9999-12-31
0000000076,FLVN01,2000-01-01,9999-12-31
0000000077,FLVN01,2000-01-01,9999-12-31
0000000078,FLVN01,2000-01-01,9999-12-31
0000000079,FLVN01,2000-01-01,9999-12-31
0000000081,FLVN01,2000-01-01,9999-12-31
0000000082,FLVN01,2000-01-01,9999-12-31
0000000083,FLVN01,2000-01-01,9999-12-31
0000000084,FLVN01,2000-01-01,9999-12-31
0000000085,FLVN01,2000-01-01,9999-12-31
0000000086,FLVN01,2000-01-01,9999-12-31
0000000087,FLVN01,2000-01-01,9999-12-31
0000000088,FLVN01,2000-01-01,9999-12-31
0000000089,FLVN01,2000-01-01,9999-12-31
0000000090,FLVN01,2000-01-01,9999-12-31
0000000092,FLVN01,2000-01-01,9999-12-31
0000000094,FLVN01,2000-01-01,9999-12-31
0000000095,FLVN01,2000-01-01,9999-12-31
0000000096,FLVN01,2000-01-01,9999-12-31
0000000097,FLVN01,2000-01-01,9999-12-31
0000000098,FLVN01,2000-01-01,9999-12-31
0000000099,FLVN01,2000-01-01,9999-12-31
0000000100,FLVN01,2000-01-01,9999-12-31
0000000101,FLVN01,2000-01-01,9999-12-31
0000000102,FLVN01,2000-01-01,9999-12-31
0000000103,FLVN01,2000-01-01,9999-12-31
0000000104,FLVN01,2000-01-01,9999-12-31
0000000105,FLVN01,2000-01-01,9999-12-31
0000000106,FLVN01,2000-01-01,9999-12-31
0000000107,FLVN01,2000-01-01,9999-12-31
0000000108,FLVN01,2000-01-01,9999-12-31
0000000109,FLVN01,2000-01-01,9999-12-31
0000000110,FLVN01,2000-01-01,9999-12-31
0000000111,FLVN01,2000-01-01,9999-12-31
0000000112,FLVN01,2000-01-01,9999-12-31
0000000113,FLVN01,2000-01-01,9999-12-31
0000000115,FLVN01,2000-01-01,9999-12-31
0000000116,FLVN01,2000-01-01,9999-12-31
0000000117,FLVN01,2000-01-01,9999-12-31
0000000118,FLVN01,2000-01-01,9999-12-31
0000000119,FLVN01,2000-01-01,9999-12-31
0000000120,FLVN01,2000-01-01,9999-12-31
0000000121,FLVN01,2000-01-01,9999-12-31
0000000122,FLVN01,2000-01-01,9999-12-31
0000000123,FLVN01,2000-01-01,9999-12-31
0000000124,FLVN01,2000-01-01,9999-12-31
0000000125,FLVN01,2000-01-01,9999-12-31
0000000126,FLVN01,2000-01-01,9999-12-31
0000000127,FLVN01,2000-01-01,9999-12-31
0000000128,FLVN01,2000-01-01,9999-12-31
0000000129,FLVN01,2000-01-01,9999-12-31
0000000130,FLVN01,2000-01-01,9999-12-31
0000000131,FLVN01,2000-01-01,9999-12-31
0000000132,FLVN01,2000-01-01,9999-12-31
0000000133,FLVN01,2000-01-01,9999-12-31
0000000134,FLVN01,2000-01-01,9999-12-31
0000000135,FLVN01,2000-01-01,9999-12-31
0000000136,FLVN01,2000-01-01,9999-12-31
0000000137,FLVN01,2000-01-01,9999-12-31
0000000138,FLVN01,2000-01-01,9999-12-31
0000000139,FLVN01,2000-01-01,9999-12-31
0000000140,FLVN01,2000-01-01,9999-12-31
0000000141,FLVN01,2000-01-01,9999-12-31
0000000142,FLVN01,2000-01-01,9999-12-31
0000000143,FLVN01,2000-01-01,9999-12-31
0000000145,FLVN01,2000-01-01,9999-12-31
0000000146,FLVN01,2000-01-01,9999-12-31
0000000147,FLVN01,2000-01-01,9999-12-31
0000000148,FLVN01,2000-01-01,9999-12-31
0000000149,FLVN01,2000-01-01,9999-12-31
0000000150,FLVN01,2000-01-01,9999-12-31
0000000151,FLVN01,2000-01-01,9999-12-31
0000000152,FLVN01,2000-01-01,9999-12-31
0000000153,FLVN01,2000-01-01,9999-12-31
0000000155,FLVN01,2000-01-01,9999-12-31
0000000156,FLVN01,2000-01-01,9999-12-31
0000000157,FLVN01,2000-01-01,9999-12-31
0000000158,FLVN01,2000-01-01,9999-12-31
0000000159,FLVN01,2000-01-01,9999-12-31
0000000160,FLVN01,2000-01-01,9999-12-31
0000000161,FLVN01,2000-01-01,9999-12-31
0000000162,FLVN01,2000-01-01,9999-12-31
0000000163,FLVN01,2000-01-01,9999-12-31
0000000164,FLVN01,2000-01-01,9999-12-31
0000000165,FLVN01,2000-01-01,9999-12-31
0000000166,FLVN01,2000-01-01,9999-12-31
0000000167,FLVN01,2000-01-01,9999-12-31
0000000168,FLVN01,2000-01-01,9999-12-31
0000000169,FLVN01,2000-01-01,9999-12-31
0000000170,FLVN01,2000-01-01,9999-12-31
0000000171,FLVN01,2000-01-01,9999-12-31
0000000172,FLVN01,2000-01-01,9999-12-31
0000000173,FLVN01,2000-01-01,9999-12-31
0000000174,FLVN01,2000-01-01,9999-12-31
0000000175,FLVN01,2000-01-01,9999-12-31
0000000176,FLVN01,2000-01-01,9999-12-31
0000000177,FLVN01,2000-01-01,9999-12-31
0000000178,FLVN01,2000-01-01,9999-12-31
0000000179,FLVN01,2000-01-01,9999-12-31
0000000180,FLVN01,2000-01-01,9999-12-31
0000000181,FLVN01,2000-01-01,9999-12-31
0000000182,FLVN01,2000-01-01,9999-12-31
0000000183,FLVN01,2000-01-01,9999-12-31
0000000184,FLVN01,2000-01-01,9999-12-31
0000000185,FLVN01,2000-01-01,9999-12-31
0000000186,FLVN01,2000-01-01,9999-12-31
0000000187,FLVN01,2000-01-01,9999-12-31
0000000188,FLVN01,2000-01-01,9999-12-31
0000000189,FLVN01,2000-01-01,9999-12-31
0000000190,FLVN01,2000-01-01,9999-12-31
0000000191,FLVN01,2000-01-01,9999-12-31
0000000192,FLVN01,2000-01-01,9999-12-31
