BP_NUMBER,bp_type,NAME1,NAME2,COUNTRY,CURRENCY,TAX_NUMBER,LANGUAGE,created_at
0000000001,VEND,日本電気株式会社,and Sons,FR,EUR,1615594078,J,2021-06-03
0000000002,VEND,G&M Bicycle,e Filhos,NL,EUR,6916697848,J,2021-06-03
0000000003,VEND,TechCycle Canberra,LLC,MX,CAD,,J,2021-06-03
0000000004,VEND,High Tech Sports Inc,LLC,JP,CAD,8726247317,F,2021-06-03
0000000005,VEND,Tires On Fire,Inc,PL,EUR,1699854353,J,2021-06-03
0000000006,VEND,FitnessWorld,AG & Co. KGaA,CN,CNY,4278680112,E,2021-06-03
0000000007,VEND,Homerun Millwork Inc.,e.V.,CA,BRL,3375433036,J,2021-06-03
0000000008,VEND,Antonio Bandolera,,GB,KRW,3699577738,E,2021-06-03
0000000009,VEND,Khan Cycles,and Sons,DE,JPY,7143455812,F,2021-06-03
0000000010,VEND,Palm Beach Bike World,,IN,USD,,F,2021-06-03
0000000011,VEND,A to Z Fitness,e Filhos,PL,EUR,5067165726,D,2021-06-03
0000000012,VEND,Move by Bike,S.A.,CN,BRL,3749894134,D,2021-06-03
0000000013,VEND,Unolab Manufacturing,,NL,KRW,7496499091,E,2021-06-03
0000000014,VEND,Eiffel Bikes,Ltd,SE,CNY,0278742967,J,2021-06-03
0000000016,VEND,BuchungsKreis 1010,PLC,AT,BRL,7809134316,P,2021-06-03
0000000017,VEND,Avante Grande Bikes,- EI,MX,CHF,1047095214,D,2021-06-03
0000000018,VEND,Carefree Cycles,and Sons,CH,AUD,6758692617,E,2021-06-03
0000000019,VEND,Cycle World,and Sons,SE,CAD,8470076617,E,2021-06-03
0000000020,VEND,Hudson SportsTec,SA,CA,CHF,1983273158,P,2021-06-03
0000000021,VEND,Reese and Sons,S/A,NL,EUR,3244510762,F,2012-10-02
0000000022,VEND,橋本電気有限会社,,NL,CHF,8079359782,P,2019-02-17
0000000023,VEND,Farias Barros - EI,,MX,CAD,8623924075,E,2014-11-17
0000000024,VEND,Miller-Martin,,DE,CHF,1798089324,D,2017-06-05
0000000025,VEND,Chartier Laroche SA,Inc,IT,GBP,,J,2022-06-22
0000000027,VEND,Price Ltd,LLC,US,KRW,8414384249,E,2013-04-19
0000000028,VEND,Mendes,GmbH & Co. OHG,BE,EUR,1624565060,J,2013-08-20
0000000029,VEND,Gordon-Duran,PLC,SE,GBP,1307562636,P,2012-02-28
0000000030,VEND,Sales Santos - ME,KG,IT,EUR,3454019380,P,2015-04-30
0000000031,VEND,Carvalho,LLC,MX,EUR,8783391878,E,2018-03-07
0000000032,VEND,Bazin S.A.,Stiftung & Co. KGaA,JP,CHF,8251286823,F,2017-09-17
0000000033,VEND,"Barnes, Miranda and Stephenson",S.A.,NL,EUR,,J,2014-10-18
0000000034,VEND,有限会社田中印刷,,BE,JPY,5228728080,E,2023-02-11
0000000035,VEND,Société Générale,,IN,EUR,9025039261,E,2015-06-28
0000000036,VEND,Cook PLC,AG,GB,JPY,2444721264,F,2013-10-16
0000000037,VEND,Kramer,LLC,CH,EUR,,D,2025-12-12
0000000038,VEND,Döring Atzler AG,SA,IN,CAD,8673622660,D,2023-01-24
0000000039,VEND,Thomas,,CH,KRW,,D,2020-04-14
0000000040,VEND,Lejeune,and Sons,KR,CHF,8254494812,P,2020-01-26
0000000041,VEND,Couturier SA,SA,GB,EUR,0927532697,E,2024-11-22
0000000042,VEND,後藤銀行株式会社,Group,AT,GBP,1463031617,J,2021-01-19
0000000043,VEND,Weiß e.G.,Inc,JP,USD,,F,2024-11-22
0000000044,VEND,日本電気株式会社,,PL,EUR,2067883171,D,2018-04-09
0000000045,VEND,Orr Group,,NL,EUR,8759856420,F,2011-12-03
0000000046,VEND,合同会社橋本通信,,JP,GBP,,J,2024-03-05
0000000047,VEND,Aubry S.A.,Inc,AU,EUR,,J,2021-03-30
0000000048,VEND,Borges,S.A.S.,DE,CAD,1168685487,P,2017-09-09
0000000049,VEND,佐藤印刷合同会社,,NL,EUR,,P,2013-06-30
0000000050,VEND,Rocha Costela Ltda.,,BR,JPY,6609935387,F,2024-11-29
0000000051,VEND,Brown-Walters,SA,US,AUD,,P,2018-04-05
0000000052,VEND,Rezende S/A,,PL,EUR,1100225579,D,2020-09-29
0000000053,VEND,Castro S/A,Ltd,DE,AUD,0166088019,D,2016-03-11
0000000054,VEND,Silva,,GB,USD,9958669346,P,2017-02-01
0000000055,VEND,Johnson LLC,,MX,EUR,3472122816,E,2015-03-28
0000000056,VEND,Birnbaum,GmbH,CA,CHF,8013361386,P,2012-11-09
