ACCOUNT_NUMBER,CHART_OF_ACCOUNTS,ACCOUNT_TYPE,DESCRIPTION,CREATED_AT
0000104254,INT,S,,2023-06-13
0000270149,INT,S,iterate sticky minds,2023-09-20
0000340058,INT,S,,2021-08-08
0000481329,INT,S,engage collaborative,2019-10-02
0000519338,INT,S,,2012-01-25
0000697164,INT,S,whiteboard user-cent,2012-09-01
0000724858,INT,S,generate dot-com arc,2023-07-06
0000856299,INT,S,,2026-02-26
0000147497,INT,S,mesh bricks-and-clic,2025-06-02
0000210942,INT,S,expedite robust rela,2023-07-06
0000311969,INT,S,repurpose granular i,2026-02-26
0000421708,INT,S,maximize B2B ROI,2019-01-11
0000597436,INT,S,leverage innovative,2026-06-03
0000652103,INT,S,,2022-10-01
0000772726,INT,S,revolutionize B2C vo,2020-09-23
0000825445,INT,S,redefine back-end ap,2019-08-17
0000128785,INT,S,productize cross-pla,2024-07-08
0000213691,INT,S,engineer world-class,2017-06-29
0000376283,INT,S,matrix front-end met,2024-05-26
0000491018,INT,S,,2022-01-24
0000598660,INT,S,,2013-06-01
0000659913,INT,S,grow scalable ROI,2014-07-11
0000779567,INT,S,,2021-12-10
0000859335,INT,S,morph viral function,2015-11-01
0000130115,INT,S,,2021-03-10
0000214108,INT,S,matrix B2C networks,2023-01-31
0000359782,INT,S,engineer holistic ch,2025-04-07
0000494164,INT,S,engage dynamic initi,2014-09-02
0000543229,INT,S,reinvent open-source,2017-09-01
0000630617,INT,S,redefine innovative,2015-11-01
0000784735,INT,S,,2016-02-15
0000888922,INT,S,target virtual ROI,2014-09-03
0000139683,INT,S,cultivate interactiv,2023-04-14
0000206178,INT,S,transition proactive,2012-07-13
0000323061,INT,S,synthesize innovativ,2011-08-30
0000465659,INT,S,,2019-04-21
0000522154,INT,S,envisioneer revoluti,2021-09-11
0000619628,INT,S,strategize leading-e,2015-05-08
0000720821,INT,S,,2012-07-31
0000881270,INT,S,orchestrate transpar,2011-07-29
0000139937,INT,S,,2016-12-29
0000206950,INT,S,monetize distributed,2012-06-10
0000335344,INT,S,,2022-06-26
0000411291,INT,S,scale cross-media e-,2014-11-27
0000584336,INT,S,target vertical expe,2015-10-04
0000631327,INT,S,grow front-end vorta,2020-03-25
0000743481,INT,S,reinvent innovative,2026-02-19
