PRODUCT_NUMBER,PRODUCT_TYPE,BASE_UNIT,WEIGHT,WEIGHT_UNIT,VOLUME,VOLUME_UNIT,PRODUCT_GROUP,DIVISION,ERDAT
P000000001,FERT,EA,22.0,KG,31.045,M3,MECH,01,2021-06-03
P000000002,FERT,EA,15.0,KG,85.597,L,MECH,01,2021-06-03
P000000003,FERT,EA,16.0,KG,76.807,L,MECH,04,2021-06-03
P000000004,FERT,EA,11.0,KG,93.226,CM3,MECH,04,2021-06-03
P000000005,FERT,EA,8.0,KG,95.81,L,MECH,01,2021-06-03
P000000006,FERT,EA,9.1,KG,37.493,M3,MECH,01,2021-06-03
P000000007,FERT,EA,11.1,KG,99.001,M3,MECH,03,2021-06-03
P000000008,ROH,EA,11.8,KG,16.853,CM3,MECH,01,2021-06-03
P000000009,ROH,EA,12.5,KG,54.367,CM3,MECH,02,2021-06-03
P000000010,ROH,EA,12.8,KG,26.274,L,MECH,01,2021-06-03
P000000011,ROH,EA,8.1,KG,73.445,CM3,MECH,03,2021-06-03
P000000012,ROH,EA,8.0,KG,6.277,M3,MECH,04,2021-06-03
P000000013,ROH,EA,8.6,KG,65.647,M3,MECH,01,2021-06-03
P000000014,FERT,EA,12.7,KG,23.016,CM3,MECH,04,2021-06-03
P000000015,FERT,EA,13.1,KG,57.993,M3,MECH,03,2021-06-03
P000000016,FERT,EA,12.5,KG,9.378,L,MECH,04,2021-06-03
P000000017,FERT,EA,7.1,KG,16.919,M3,MECH,01,2021-06-03
P000000018,ROH,EA,7.2,KG,3.948,CM3,MECH,04,2021-06-03
P000000019,ROH,EA,7.8,KG,33.755,L,MECH,04,2021-06-03
P000000020,ROH,EA,7.3,KG,13.376,CM3,MECH,01,2021-06-03
P000000021,HALB,EA,7.7,KG,25.177,CM3,MECH,02,2021-06-03
P000000022,HALB,EA,14.3,KG,49.549,L,MECH,02,2021-06-03
P000000023,HALB,EA,15.4,KG,34.641,CM3,MECH,01,2021-06-03
P000000024,HALB,EA,18.1,KG,50.075,CM3,MECH,03,2021-06-03
P000000025,FERT,EA,12.0,KG,90.102,M3,MECH,03,2021-06-03
P000000026,DIEN,EA,7.5,KG,1.664,L,MECH,03,2021-06-03
P000000027,DIEN,EA,6.9,KG,91.407,CM3,MECH,01,2021-06-03
P000000028,DIEN,EA,7.0,KG,49.266,CM3,MECH,01,2021-06-03
P000000029,FERT,EA,12.1,KG,71.849,M3,MECH,02,2021-06-03
P000000030,DIEN,EA,13.6,KG,9.411,M3,MECH,04,2021-06-03
P000000031,FERT,EA,20.1,KG,44.673,L,MECH,01,2021-06-03
P000000032,FERT,EA,19.3,KG,63.897,L,MECH,04,2021-06-03
P000000033,FERT,EA,20.5,KG,79.397,CM3,MECH,04,2021-06-03
P000000034,DIEN,EA,11.8,KG,84.63,L,MECH,02,2021-06-03
P000000035,NLAG,M3,204.048,KG,54.489,CM3,MECH,04,2017-09-28
P000000036,NLAG,EA,544.258,KG,87.208,L,MECH,04,2025-05-02
P000000037,NLAG,PC,496.702,KG,74.788,CM3,MECH,01,2023-11-10
P000000038,DIEN,M2,801.076,KG,76.831,CM3,MECH,01,2025-02-28
P000000039,FERT,L,92.593,KG,51.761,CM3,MECH,01,2021-10-30
P000000040,DIEN,M3,904.572,KG,54.056,L,MECH,01,2016-09-11
P000000041,ROH,L,934.381,KG,6.773,M3,MECH,01,2023-01-17
P000000042,ROH,PC,914.733,KG,63.911,M3,MECH,04,2020-09-28
P000000043,ROH,L,580.338,KG,19.445,CM3,MECH,04,2020-09-17
P000000044,FERT,M3,130.082,KG,88.095,L,MECH,02,2021-04-20
P000000045,DIEN,M,21.818,KG,54.746,CM3,MECH,01,2021-09-18
P000000046,ROH,M3,881.8,KG,98.156,CM3,MECH,01,2013-06-21
P000000047,FERT,M3,193.224,KG,57.328,L,MECH,04,2016-11-23
P000000048,DIEN,M3,982.869,KG,10.821,L,MECH,01,2023-01-02
P000000049,FERT,M3,458.127,KG,22.048,L,MECH,01,2021-12-19
P000000050,NLAG,EA,901.464,KG,6.717,L,MECH,03,2026-02-15
P000000051,ROH,M2,674.706,KG,22.684,M3,MECH,01,2025-10-21
P000000052,FERT,PC,19.16,KG,9.006,CM3,MECH,02,2023-03-05
P000000053,DIEN,M3,912.384,KG,35.734,L,MECH,04,2012-11-30
P000000054,NLAG,EA,782.596,KG,16.87,CM3,MECH,04,2020-02-08
P000000055,ROH,EA,80.259,KG,70.784,M3,MECH,04,2012-04-11
P000000056,DIEN,PC,463.233,KG,11.318,M3,MECH,01,2022-06-15
P000000057,NLAG,M2,206.034,KG,10.918,CM3,MECH,01,2014-06-29
P000000058,HALB,PC,791.618,KG,54.944,M3,MECH,01,2012-12-05
P000000059,HALB,M3,525.405,KG,83.007,M3,MECH,02,2020-06-16
P000000060,ROH,M3,119.824,KG,11.277,CM3,MECH,01,2016-08-30
P000000061,ROH,M2,738.547,KG,61.156,M3,MECH,04,2022-08-18
P000000062,ROH,EA,176.872,KG,78.42,M3,MECH,01,2018-12-23
P000000063,NLAG,M3,746.451,KG,8.586,CM3,MECH,04,2019-12-20
P000000064,FERT,EA,372.727,KG,31.582,M3,MECH,01,2020-01-11
P000000065,ROH,L,756.092,KG,14.982,L,MECH,02,2024-05-22
P000000066,ROH,PC,355.64,KG,57.98,L,MECH,02,2023-03-10
P000000067,FERT,EA,343.929,KG,40.022,L,MECH,04,2018-08-17
P000000068,HALB,EA,485.949,KG,28.553,CM3,MECH,01,2025-10-03
P000000069,NLAG,KG,127.221,KG,2.114,M3,MECH,01,2018-05-31
P000000070,ROH,KG,369.71,KG,5.71,L,MECH,03,2025-11-23
P000000071,ROH,EA,347.97,KG,11.12,M3,MECH,04,2017-06-02
P000000072,HALB,KG,920.582,KG,13.646,M3,MECH,02,2013-12-16
P000000073,FERT,M2,752.696,KG,1.015,L,MECH,01,2013-10-31
P000000074,NLAG,M3,540.084,KG,1.981,L,MECH,01,2011-10-31
P000000075,DIEN,M3,157.156,KG,59.597,M3,MECH,04,2016-08-11
P000000076,ROH,L,405.765,KG,89.489,M3,MECH,01,2016-02-06
P000000077,DIEN,M,324.66,KG,9.947,L,MECH,01,2014-07-22
P000000078,ROH,KG,990.783,KG,22.848,CM3,MECH,01,2019-03-31
P000000079,HALB,EA,550.412,KG,21.597,L,MECH,04,2011-12-02
P000000080,ROH,M3,699.424,KG,8.457,M3,MECH,02,2025-02-06
P000000081,FERT,M,130.311,KG,46.491,CM3,MECH,01,2024-03-16
P000000082,ROH,KG,190.909,KG,39.38,CM3,MECH,04,2020-08-01
P000000083,ROH,L,122.281,KG,22.152,CM3,MECH,04,2020-07-29
P000000084,NLAG,KG,125.739,KG,18.023,L,MECH,01,2020-11-10
P000000085,HALB,M,250.489,KG,82.514,L,MECH,03,2017-08-15
P000000086,DIEN,KG,714.927,KG,37.705,L,MECH,01,2018-06-26
P000000087,ROH,M3,484.38,KG,93.925,CM3,MECH,03,2018-07-16
P000000088,HALB,KG,533.104,KG,78.074,CM3,MECH,03,2023-11-25
P000000089,FERT,M2,889.674,KG,69.647,M3,MECH,01,2018-03-18
P000000090,ROH,PC,358.901,KG,34.557,L,MECH,04,2023-04-27
P000000091,NLAG,EA,166.543,KG,8.197,M3,MECH,01,2022-07-19
P000000092,ROH,PC,167.578,KG,81.028,L,MECH,01,2018-09-10
P000000093,HALB,M2,413.787,KG,16.659,L,MECH,03,2025-07-06
P000000094,ROH,EA,878.148,KG,24.538,M3,MECH,01,2015-05-11
P000000095,NLAG,EA,982.526,KG,74.558,M3,MECH,03,2013-09-15
P000000096,ROH,M3,440.373,KG,76.535,L,MECH,03,2023-03-24
P000000097,DIEN,EA,602.013,KG,67.675,CM3,MECH,01,2014-04-10
P000000098,ROH,EA,687.071,KG,86.739,M3,MECH,02,2020-07-27
P000000099,DIEN,PC,668.558,KG,74.778,CM3,MECH,01,2011-07-13
P000000100,ROH,EA,925.917,KG,92.088,CM3,MECH,01,2014-07-08
P000000101,ROH,M2,135.366,KG,3.962,CM3,MECH,02,2025-06-07
P000000102,FERT,M,578.537,KG,16.864,CM3,MECH,02,2022-11-09
P000000103,NLAG,EA,711.396,KG,52.342,M3,MECH,01,2019-07-26
P000000104,FERT,L,787.492,KG,60.019,CM3,MECH,02,2018-06-28
P000000105,ROH,M,509.525,KG,51.361,L,MECH,04,2016-01-09
P000000106,DIEN,L,717.977,KG,26.576,CM3,MECH,01,2025-11-01
