PRODUCT_NUMBER,PLANT,MRP_TYPE,SAFETY_STOCK,REORDER_POINT,LOT_SIZE
P000000440,P002,PD,0,0,EX
P000001021,P008,PD,0,0,EX
P000001830,P008,PD,0,0,EX
P000001561,P002,PD,0,0,EX
P000000268,P006,PD,0,0,EX
P000000853,P010,PD,0,0,EX
P000000576,P004,PD,0,0,EX
P000000225,P002,PD,0,0,EX
P000001305,P007,PD,0,0,EX
P000000778,P006,PD,0,0,EX
P000000854,P005,PD,0,0,EX
P000001974,P009,VB,0,0,EX
P000000557,P010,VB,0,0,EX
P000000626,P009,VB,0,0,EX
P000000249,P010,PD,0,0,EX
P000001050,P010,PD,0,0,EX
P000000516,P009,PD,0,0,EX
P000001798,P001,PD,0,0,EX
P000000708,P001,PD,0,0,EX
P000001294,P009,PD,0,0,EX
P000000514,P009,PD,0,0,EX
P000001444,P004,VB,0,0,EX
P000000543,P008,PD,0,0,EX
P000001012,P006,PD,0,0,EX
P000001786,P003,PD,0,0,EX
P000000386,P003,PD,0,0,EX
P000000241,P007,PD,0,0,EX
P000001404,P004,PD,0,0,EX
P000000071,P005,PD,0,0,EX
P000001444,P010,PD,0,0,EX
P000001935,P007,VB,0,0,EX
P000000294,P007,PD,0,0,EX
P000001677,P003,VB,0,0,EX
P000001616,P003,PD,0,0,EX
P000000719,P007,PD,0,0,EX
P000000010,P005,PD,0,0,EX
P000001055,P005,PD,0,0,EX
P000000681,P006,PD,0,0,EX
P000000299,P001,PD,0,0,EX
P000001971,P010,PD,0,0,EX
P000000865,P003,VB,0,0,EX
P000001245,P003,PD,0,0,EX
P000000418,P002,PD,0,0,EX
P000001746,P009,PD,0,0,EX
P000001920,P009,VB,0,0,EX
P000000768,P005,PD,0,0,EX
P000000271,P002,PD,0,0,EX
P000000041,P003,PD,0,0,EX
P000000423,P006,PD,0,0,EX
P000000360,P002,PD,0,0,EX
P000001054,P004,VB,0,0,EX
P000001149,P010,PD,0,0,EX
P000001231,P009,PD,0,0,EX
P000001176,P007,PD,0,0,EX
P000001848,P010,PD,0,0,EX
P000001937,P009,PD,0,0,EX
P000001697,P003,PD,0,0,EX
P000001269,P006,PD,0,0,EX
P000001129,P010,VB,0,0,EX
P000000003,P008,PD,0,0,EX
P000001537,P005,PD,0,0,EX
P000000225,P004,PD,0,0,EX
P000000043,P010,VB,0,0,EX
P000001831,P007,VB,0,0,EX
P000000825,P010,PD,0,0,EX
P000001723,P002,PD,0,0,EX
P000001833,P006,VB,0,0,EX
P000000839,P010,VB,0,0,EX
P000001391,P004,PD,0,0,EX
P000001335,P010,PD,0,0,EX
P000001535,P008,PD,0,0,EX
P000001680,P001,PD,0,0,EX
P000001386,P007,PD,0,0,EX
P000000383,P010,VB,0,0,EX
P000000805,P008,VB,0,0,EX
P000000552,P006,PD,0,0,EX
P000000726,P002,PD,0,0,EX
P000001916,P006,VB,0,0,EX
P000001505,P004,VB,0,0,EX
P000000495,P009,VB,0,0,EX
P000000642,P010,PD,0,0,EX
P000000932,P006,PD,0,0,EX
P000001587,P001,PD,0,0,EX
P000000295,P001,PD,0,0,EX
