PO_NUMBER,VENDOR,COMPANY_CODE,PURCH_ORG,CURRENCY,DOCUMENT_DATE,STATUS
0200000000,0000000685,2000,PO03,USD,2015-01-01,OPEN
0200000003,0000000075,1000,PO02,USD,2015-01-06,OPEN
0200000004,0000001870,5000,PO03,USD,2015-01-06,OPEN
0200000005,0000000866,2000,PO03,USD,2015-01-08,OPEN
0200000007,0000001011,2000,PO02,USD,2015-01-11,OPEN
0200000009,0000000313,3000,PO02,USD,2015-01-12,OPEN
0200000010,0000001295,5000,PO02,USD,2015-01-15,OPEN
0200000011,0000000156,3000,PO01,USD,2015-01-15,OPEN
0200000012,0000000432,3000,PO02,USD,2015-01-18,OPEN
0200000013,0000001749,2000,PO01,USD,2015-01-19,OPEN
0200000017,0000001253,5000,PO01,USD,2015-01-24,OPEN
0200000018,0000001522,2000,PO01,USD,2015-01-24,OPEN
0200000019,0000000535,5000,PO02,USD,2015-01-24,OPEN
0200000020,0000000112,5000,PO01,USD,2015-01-24,OPEN
0200000022,0000000466,1000,PO02,USD,2015-01-29,OPEN
0200000023,0000001154,5000,PO02,USD,2015-01-31,OPEN
0200000025,0000000704,3000,PO03,USD,2015-02-04,OPEN
0200000027,0000000281,3000,PO03,USD,2015-02-04,OPEN
0200000029,0000000866,4000,PO03,USD,2015-02-04,OPEN
0200000030,0000000608,2000,PO02,USD,2015-02-06,OPEN
0200000031,0000000495,5000,PO03,USD,2015-02-09,OPEN
0200000032,0000001786,5000,PO02,USD,2015-02-11,OPEN
0200000033,0000001738,5000,PO01,USD,2015-02-13,OPEN
0200000035,0000001225,1000,PO02,USD,2015-02-15,OPEN
0200000036,0000001770,1000,PO02,USD,2015-02-17,OPEN
0200000040,0000001130,1000,PO01,USD,2015-02-25,OPEN
0200000041,0000000883,2000,PO02,USD,2015-02-25,OPEN
0200000042,0000001477,3000,PO01,USD,2015-02-25,OPEN
0200000043,0000000489,2000,PO02,USD,2015-02-27,OPEN
0200000044,0000001586,3000,PO03,USD,2015-02-27,OPEN
0200000048,0000000668,5000,PO01,USD,2015-03-07,OPEN
0200000049,0000001521,5000,PO01,USD,2015-03-08,OPEN
0200000050,0000000358,5000,PO02,USD,2015-03-10,OPEN
0200000052,0000001518,3000,PO03,USD,2015-03-13,OPEN
0200000053,0000001520,4000,PO03,USD,2015-03-14,OPEN
0200000054,0000000754,1000,PO01,USD,2015-03-16,OPEN
0200000055,0000000759,3000,PO02,USD,2015-03-17,OPEN
0200000056,0000000837,4000,PO03,USD,2015-03-20,OPEN
0200000057,0000000825,2000,PO03,USD,2015-03-20,OPEN
0200000059,0000000783,2000,PO03,USD,2015-03-25,OPEN
0200000060,0000001462,1000,PO03,USD,2015-03-25,OPEN
0200000062,0000001332,4000,PO02,USD,2015-03-28,OPEN
0200000064,0000000274,3000,PO02,USD,2015-03-31,OPEN
0200000065,0000001351,5000,PO03,USD,2015-04-01,OPEN
0200000066,0000000385,2000,PO01,USD,2015-04-04,OPEN
0200000068,0000000419,3000,PO03,USD,2015-04-09,OPEN
0200000069,0000000399,3000,PO01,USD,2015-04-09,OPEN
0200000070,0000000876,4000,PO02,USD,2015-04-09,OPEN
0200000071,0000001163,2000,PO03,USD,2015-04-12,OPEN
0200000072,0000000171,3000,PO02,USD,2015-04-13,OPEN
0200000073,0000000373,5000,PO02,USD,2015-04-13,OPEN
0200000074,0000000556,5000,PO01,USD,2015-04-15,OPEN
0200000075,0000000869,1000,PO01,USD,2015-04-17,OPEN
0200000077,0000001707,1000,PO02,USD,2015-04-20,OPEN
0200000078,0000000939,2000,PO02,USD,2015-04-23,OPEN
0200000079,0000001111,3000,PO03,USD,2015-04-25,OPEN
0200000080,0000001179,2000,PO01,USD,2015-04-28,OPEN
0200000083,0000001984,5000,PO01,USD,2015-05-03,OPEN
0200000087,0000001822,4000,PO02,USD,2015-05-08,OPEN
