PO_NUMBER,ITEM_NUMBER,PRODUCT,PLANT,QUANTITY,UNIT,NET_PRICE,CURRENCY,DELIVERY_DATE
0200000000,00010,P000000022,P008,6,EA,2782.8,USD,
0200000003,00010,P000000015,P007,5,EA,1293.82,USD,
0200000003,00020,P000000010,P002,9,EA,2130.44,USD,
0200000004,00010,P000000029,P003,4,EA,6019.73,USD,
0200000005,00010,P000000029,P008,10,EA,8445.96,USD,
0200000005,00020,P000000014,P006,7,EA,2367.05,USD,
0200000005,00040,P000000020,P008,3,EA,4198.26,USD,
0200000005,00050,P000000028,P001,9,EA,937.5,USD,
0200000005,00060,P000000026,P010,4,EA,2912.63,USD,
0200000007,00010,P000000031,P005,3,EA,6748.23,USD,
0200000007,00020,P000000003,P005,8,EA,5514.12,USD,
0200000007,00030,P000000029,P002,9,EA,716.99,USD,
0200000007,00040,P000000024,P003,7,EA,1075.98,USD,
0200000009,00010,P000000014,P007,1,EA,2861.31,USD,
0200000009,00020,P000000009,P008,5,EA,8924.94,USD,
0200000009,00030,P000000029,P010,9,EA,8592.82,USD,
0200000009,00040,P000000023,P003,8,EA,9489.3,USD,
0200000010,00010,P000000015,P007,6,EA,6510.16,USD,
0200000010,00020,P000000004,P008,9,EA,111.22,USD,
0200000010,00030,P000000005,P002,8,EA,131.25,USD,
0200000010,00040,P000000008,P010,5,EA,1530.77,USD,
0200000010,00050,P000000013,P003,10,EA,4648.97,USD,
0200000011,00010,P000000024,P003,8,EA,5015.34,USD,
0200000011,00020,P000000023,P006,8,EA,343.51,USD,
0200000011,00030,P000000006,P006,8,EA,1245.27,USD,
0200000011,00040,P000000030,P004,5,EA,840.0,USD,
0200000011,00050,P000000018,P002,9,EA,8940.19,USD,
0200000011,00060,P000000006,P001,9,EA,7072.27,USD,
0200000012,00010,P000000002,P003,6,EA,5273.3,USD,
0200000012,00020,P000000033,P003,8,EA,43.75,USD,
0200000013,00010,P000000010,P003,8,EA,916.12,USD,
0200000013,00020,P000000025,P007,6,EA,9719.11,USD,
0200000013,00030,P000000012,P004,9,EA,4052.98,USD,
0200000017,00010,P000000007,P006,5,EA,751.63,USD,
0200000017,00020,P000000004,P001,2,EA,500.5,USD,
0200000017,00030,P000000029,P003,6,EA,6977.14,USD,
0200000017,00040,P000000001,P006,5,EA,8889.03,USD,
0200000017,00050,P000000005,P009,8,EA,131.25,USD,
0200000018,00010,P000000006,P004,2,EA,3244.34,USD,
0200000018,00020,P000000025,P010,8,EA,6349.79,USD,
0200000018,00030,P000000006,P006,7,EA,8670.43,USD,
0200000018,00040,P000000010,P008,4,EA,9989.52,USD,
0200000019,00010,P000000003,P008,1,EA,3807.84,USD,
0200000019,00020,P000000012,P005,3,EA,3468.44,USD,
0200000019,00030,P000000010,P002,10,EA,6763.57,USD,
0200000020,00010,P000000032,P002,7,EA,9950.77,USD,
0200000020,00020,P000000002,P008,6,EA,6966.51,USD,
0200000022,00010,P000000026,P008,4,EA,1436.28,USD,
0200000023,00010,P000000003,P001,5,EA,4086.98,USD,
0200000023,00020,P000000010,P003,8,EA,1114.44,USD,
0200000023,00030,P000000028,P001,10,EA,9058.66,USD,
0200000023,00040,P000000013,P002,3,EA,1795.2,USD,
0200000023,00050,P000000021,P008,1,EA,2955.95,USD,
0200000025,00010,P000000004,P007,3,EA,333.67,USD,
0200000025,00020,P000000024,P010,4,EA,5714.13,USD,
0200000027,00010,P000000020,P010,2,EA,5010.11,USD,
0200000027,00020,P000000004,P004,5,EA,200.2,USD,
